url,page_type,template,brand,model,variant,price_str,ex_showroom_price,on_road_price,emi_str,specs,variants_list,colors_list,features_list,pros_list,cons_list,faq_items,has_reviews,has_video,has_comparison,has_alternatives,breadcrumbs,coverage_score_pct,present_content_sections,missing_content_sections,entity_consistency_ok,entity_contradictions,primary_intent,secondary_intents
https://www.drivio.in/husqvarna-motorcycles/husqvarna-svartpilen-250,model,tpl_brand_husqvarna-motorcycles_2seg,Husqvarna,Husqvarna Svartpilen 250,,,,,,"{'mileage': None, 'engine_cc': None, 'power_bhp': None, 'torque_nm': None, 'fuel_type': None, 'transmission': None, 'curb_weight_kg': None, 'dimensions': None, 'brakes': None, 'suspension': None, 'tyres': None, 'top_speed': None}",[],[],[],[],[],[],False,False,False,False,"['Home', 'Husqvarna Motorcycles', 'Husqvarna Svartpilen 250']",5.9,['images'],"['price', 'on_road_price', 'variants', 'specifications', 'mileage', 'engine', 'power', 'torque', 'features', 'colors', 'pros', 'cons', 'comparison', 'emi', 'faqs', 'reviews']",True,[],finance,[]
https://www.drivio.in/husqvarna-motorcycles/husqvarna-vitpilen-250,model,tpl_brand_husqvarna-motorcycles_2seg,Husqvarna,Husqvarna Vitpilen 250,,,,,,"{'mileage': None, 'engine_cc': None, 'power_bhp': None, 'torque_nm': None, 'fuel_type': None, 'transmission': None, 'curb_weight_kg': None, 'dimensions': None, 'brakes': None, 'suspension': None, 'tyres': None, 'top_speed': None}",[],[],[],[],[],[],False,False,False,False,"['Home', 'Husqvarna Motorcycles', 'Husqvarna Vitpilen 250']",5.9,['images'],"['price', 'on_road_price', 'variants', 'specifications', 'mileage', 'engine', 'power', 'torque', 'features', 'colors', 'pros', 'cons', 'comparison', 'emi', 'faqs', 'reviews']",True,[],finance,[]
https://www.drivio.in/husqvarna-motorcycles/svartpilen-401,model,tpl_brand_husqvarna-motorcycles_2seg,Husqvarna,Svartpilen 401,,,,,,"{'mileage': None, 'engine_cc': None, 'power_bhp': None, 'torque_nm': None, 'fuel_type': 'Electric', 'transmission': None, 'curb_weight_kg': None, 'dimensions': None, 'brakes': None, 'suspension': None, 'tyres': None, 'top_speed': None}",[],[],[],[],[],[],False,False,False,False,"['Home', 'Husqvarna Motorcycles', 'Svartpilen 401']",11.8,"['engine', 'images']","['price', 'on_road_price', 'variants', 'specifications', 'mileage', 'power', 'torque', 'features', 'colors', 'pros', 'cons', 'comparison', 'emi', 'faqs', 'reviews']",True,[],commercial,[]
https://www.drivio.in/bikes/honda,model,tpl_brand_bikes_2seg,Honda,Honda,,"₹,",,,,"{'mileage': None, 'engine_cc': None, 'power_bhp': None, 'torque_nm': None, 'fuel_type': 'Electric', 'transmission': None, 'curb_weight_kg': None, 'dimensions': None, 'brakes': None, 'suspension': None, 'tyres': None, 'top_speed': None}",[],[],[],[],[],[],False,False,True,True,"['Home', 'Bikes', 'Honda']",23.5,"['price', 'comparison', 'emi', 'images']","['on_road_price', 'variants', 'specifications', 'mileage', 'engine', 'power', 'torque', 'features', 'colors', 'pros', 'cons', 'faqs', 'reviews']",False,"[""Brand 'Honda' identified in URL path but omitted from Title/H1.""]",pricing,[]
https://www.drivio.in/bikes/hero,model,tpl_brand_bikes_2seg,Hero,Hero,,"₹,",,,,"{'mileage': None, 'engine_cc': None, 'power_bhp': None, 'torque_nm': None, 'fuel_type': 'Electric', 'transmission': None, 'curb_weight_kg': None, 'dimensions': None, 'brakes': None, 'suspension': None, 'tyres': None, 'top_speed': None}",[],[],[],[],[],[],False,False,True,True,"['Home', 'Bikes', 'Hero']",23.5,"['price', 'comparison', 'emi', 'images']","['on_road_price', 'variants', 'specifications', 'mileage', 'engine', 'power', 'torque', 'features', 'colors', 'pros', 'cons', 'faqs', 'reviews']",False,"[""Brand 'Hero' identified in URL path but omitted from Title/H1.""]",pricing,[]
https://www.drivio.in/bikes/royal-enfield,model,tpl_brand_bikes_2seg,,Royal Enfield,,"₹,",,,,"{'mileage': None, 'engine_cc': None, 'power_bhp': None, 'torque_nm': None, 'fuel_type': 'Electric', 'transmission': None, 'curb_weight_kg': None, 'dimensions': None, 'brakes': None, 'suspension': None, 'tyres': None, 'top_speed': None}",[],[],[],[],[],[],False,False,True,True,"['Home', 'Bikes', 'Royal Enfield']",23.5,"['price', 'comparison', 'emi', 'images']","['on_road_price', 'variants', 'specifications', 'mileage', 'engine', 'power', 'torque', 'features', 'colors', 'pros', 'cons', 'faqs', 'reviews']",True,[],pricing,[]
https://www.drivio.in/bikes/bajaj,model,tpl_brand_bikes_2seg,Bajaj,Bajaj,,"₹,",,,,"{'mileage': None, 'engine_cc': None, 'power_bhp': None, 'torque_nm': None, 'fuel_type': 'Electric', 'transmission': None, 'curb_weight_kg': None, 'dimensions': None, 'brakes': None, 'suspension': None, 'tyres': None, 'top_speed': None}",[],[],[],[],[],[],False,False,True,True,"['Home', 'Bikes', 'Bajaj']",23.5,"['price', 'comparison', 'emi', 'images']","['on_road_price', 'variants', 'specifications', 'mileage', 'engine', 'power', 'torque', 'features', 'colors', 'pros', 'cons', 'faqs', 'reviews']",False,"[""Brand 'Bajaj' identified in URL path but omitted from Title/H1.""]",pricing,[]
https://www.drivio.in/scooters/hero,model,tpl_brand_scooters_2seg,Hero,Vehicle Model,,"₹,",,,,"{'mileage': None, 'engine_cc': None, 'power_bhp': None, 'torque_nm': None, 'fuel_type': 'Electric', 'transmission': None, 'curb_weight_kg': None, 'dimensions': None, 'brakes': None, 'suspension': None, 'tyres': None, 'top_speed': None}",[],[],[],[],[],[],False,False,True,True,"['Home', 'Scooters', 'Hero']",23.5,"['price', 'comparison', 'emi', 'images']","['on_road_price', 'variants', 'specifications', 'mileage', 'engine', 'power', 'torque', 'features', 'colors', 'pros', 'cons', 'faqs', 'reviews']",False,"[""Brand 'Hero' identified in URL path but omitted from Title/H1.""]",pricing,[]
https://www.drivio.in/scooters/suzuki,model,tpl_brand_scooters_2seg,Suzuki,Vehicle Model,,"₹,",,,,"{'mileage': None, 'engine_cc': None, 'power_bhp': None, 'torque_nm': None, 'fuel_type': 'Electric', 'transmission': None, 'curb_weight_kg': None, 'dimensions': None, 'brakes': None, 'suspension': None, 'tyres': None, 'top_speed': None}",[],[],[],[],[],[],False,False,True,True,"['Home', 'Scooters', 'Suzuki']",23.5,"['price', 'comparison', 'emi', 'images']","['on_road_price', 'variants', 'specifications', 'mileage', 'engine', 'power', 'torque', 'features', 'colors', 'pros', 'cons', 'faqs', 'reviews']",False,"[""Brand 'Suzuki' identified in URL path but omitted from Title/H1.""]",pricing,[]
https://www.drivio.in/scooters/yamaha,model,tpl_brand_scooters_2seg,Yamaha,Vehicle Model,,"₹,",,,,"{'mileage': None, 'engine_cc': None, 'power_bhp': None, 'torque_nm': None, 'fuel_type': 'Electric', 'transmission': None, 'curb_weight_kg': None, 'dimensions': None, 'brakes': None, 'suspension': None, 'tyres': None, 'top_speed': None}",[],[],[],[],[],[],False,False,True,True,"['Home', 'Scooters', 'Yamaha']",23.5,"['price', 'comparison', 'emi', 'images']","['on_road_price', 'variants', 'specifications', 'mileage', 'engine', 'power', 'torque', 'features', 'colors', 'pros', 'cons', 'faqs', 'reviews']",False,"[""Brand 'Yamaha' identified in URL path but omitted from Title/H1.""]",pricing,[]
