id,crawl_id,url,page_type,template,category,issue,severity,evidence,recommendation,source,laya_category,laya_severity,laya_action,laya_confidence
40742,crawl_20260924_001323,https://www.drivio.in/22motors-scooters,category,tpl_category_Nmotors-scooters_1seg,metadata,long_title_truncated,low,Title is 74 characters (exceeds typical 60-character SERP display limit).,Shorten title to 50-60 characters to prevent truncation in search result snippets.,deterministic_rule,,,,
40743,crawl_20260924_001323,https://www.drivio.in/22motors-scooters,category,tpl_category_Nmotors-scooters_1seg,metadata,long_meta_description,low,Meta description is 171 characters (likely truncated by search engines).,Trim meta description to under 160 characters to fit standard SERP viewports.,deterministic_rule,,,,
40744,crawl_20260924_001323,https://www.drivio.in/22motors-scooters,category,tpl_category_Nmotors-scooters_1seg,content,low_text_to_html_ratio,low,Text-to-HTML ratio is 1.05% with heavy markup code.,Streamline inline scripts/styles and augment organic textual content.,deterministic_rule,,,,
40745,crawl_20260924_001323,https://www.drivio.in/22motors-scooters,category,tpl_category_Nmotors-scooters_1seg,indexability,sitemap_url_has_noindex,critical,"URL is listed in XML sitemap but returns noindex directive: 'noindex, nofollow, noindex, nofollow'.",Remove noindex from this page or remove the URL from XML sitemaps to resolve conflict.,deterministic_rule,,,,
40746,crawl_20260924_001323,https://www.drivio.in/22motors-scooters,category,tpl_category_Nmotors-scooters_1seg,internal_linking,page_has_nofollow,low,"Page contains nofollow directive: 'noindex, nofollow, noindex, nofollow'.",Avoid site-wide nofollow directives so search engines can discover internal links.,deterministic_rule,,,,
40747,crawl_20260924_001323,https://www.drivio.in/22motors-scooters,category,tpl_category_Nmotors-scooters_1seg,internal_linking,empty_anchor_text,low,Found 3 links with no visible anchor text or image alt.,"Provide meaningful, keyword-rich anchor text for all navigational links.",deterministic_rule,,,,
40748,crawl_20260924_001323,https://www.drivio.in/22motors-scooters,category,tpl_category_Nmotors-scooters_1seg,images,missing_image_alt,low,Found 1 out of 22 images missing alt text.,"Add descriptive, keyword-relevant alt attributes to all informational images.",deterministic_rule,,,,
40749,crawl_20260924_001323,https://www.drivio.in/22motors-scooters,category,tpl_category_Nmotors-scooters_1seg,images,missing_image_dimensions,low,Found 6 images without explicit width/height attributes (potential CLS impact).,Specify explicit width and height attributes on <img> tags to reduce Cumulative Layout Shift.,deterministic_rule,,,,
40750,crawl_20260924_001323,https://www.drivio.in/about-us,category,tpl_category_about-us_1seg,metadata,short_title,low,Title length is only 17 characters: 'Drivio | About Us'.,Expand title to at least 30-60 characters including primary topic keywords and branding.,deterministic_rule,,,,
40751,crawl_20260924_001323,https://www.drivio.in/about-us,category,tpl_category_about-us_1seg,internal_linking,empty_anchor_text,low,Found 3 links with no visible anchor text or image alt.,"Provide meaningful, keyword-rich anchor text for all navigational links.",deterministic_rule,,,,
40752,crawl_20260924_001323,https://www.drivio.in/about-us,category,tpl_category_about-us_1seg,images,missing_image_alt,low,Found 1 out of 31 images missing alt text.,"Add descriptive, keyword-relevant alt attributes to all informational images.",deterministic_rule,,,,
40753,crawl_20260924_001323,https://www.drivio.in/about-us,category,tpl_category_about-us_1seg,images,missing_image_dimensions,low,Found 5 images without explicit width/height attributes (potential CLS impact).,Specify explicit width and height attributes on <img> tags to reduce Cumulative Layout Shift.,deterministic_rule,,,,
41340,crawl_20260924_001323,https://www.drivio.in/about-us,category,tpl_category_about-us_1seg,duplicates,duplicate_meta_description,low,Identical meta description shared across 3 pages.,Craft unique descriptions to provide clearer context in search engine result snippets.,deterministic_rule,,,,
40805,crawl_20260924_001323,https://www.drivio.in/adventure,category,tpl_category_adventure_1seg,metadata,long_meta_description,low,Meta description is 266 characters (likely truncated by search engines).,Trim meta description to under 160 characters to fit standard SERP viewports.,deterministic_rule,,,,
40806,crawl_20260924_001323,https://www.drivio.in/adventure,category,tpl_category_adventure_1seg,headings,multiple_h1,medium,"Page has 2 <h1> tags: ['Adventure', 'Bikes in India']",Consolidate page structure to use a single primary <h1> heading tag.,deterministic_rule,,,,
40807,crawl_20260924_001323,https://www.drivio.in/adventure,category,tpl_category_adventure_1seg,internal_linking,empty_anchor_text,low,Found 3 links with no visible anchor text or image alt.,"Provide meaningful, keyword-rich anchor text for all navigational links.",deterministic_rule,,,,
40808,crawl_20260924_001323,https://www.drivio.in/adventure,category,tpl_category_adventure_1seg,images,missing_image_alt,low,Found 1 out of 43 images missing alt text.,"Add descriptive, keyword-relevant alt attributes to all informational images.",deterministic_rule,,,,
40809,crawl_20260924_001323,https://www.drivio.in/adventure,category,tpl_category_adventure_1seg,images,missing_image_dimensions,low,Found 13 images without explicit width/height attributes (potential CLS impact).,Specify explicit width and height attributes on <img> tags to reduce Cumulative Layout Shift.,deterministic_rule,,,,
41200,crawl_20260924_001323,https://www.drivio.in/adventure,category,tpl_category_adventure_1seg,internal_linking,orphan_page,medium,Page has 0 inbound internal links from any crawled page on the site.,"Link to this page from relevant category, navigation, or parent pages.",deterministic_rule,,,,
