id,crawl_id,issue_key,prompt_summary,response_raw,latency_ms,decision_category,decision_severity,decision_action,confidence,created_at
3797,crawl_20260924_001323,cluster_sitemap_url_has_noindex,Cluster: sitemap_url_has_noindex (tpl_model_Nmotors_2seg),"{""model"": ""laya-rl-agent"", ""answers"": {""category"": {""type"": ""choice"", ""confidence"": 0.6298, ""action"": {""act_probability"": 1.0}, ""choice"": ""indexability"", ""probabilities"": {""metadata"": 0.0334, ""technical"": 0.0749, ""content"": 0.0182, ""internal_linking"": 0.0378, ""structured_data"": 0.008, ""images"": 0.0032, ""indexability"": 0.8155, ""performance"": 0.0089}}, ""severity"": {""type"": ""choice"", ""confidence"": 0.1774, ""action"": {""act_probability"": 1.0}, ""choice"": ""medium"", ""probabilities"": {""critical"": 0.078, ""high"": 0.284, ""medium"": 0.5256, ""low"": 0.1124}}, ""action"": {""type"": ""choice"", ""confidence"": 0.4877, ""action"": {""act_probability"": 1.0}, ""choice"": ""investigate"", ""probabilities"": {""fix_template"": 0.222, ""fix_metadata"": 0.0424, ""fix_content"": 0.0158, ""fix_internal_links"": 0.0331, ""fix_schema"": 0.0176, ""fix_images"": 0.0051, ""fix_performance"": 0.0093, ""investigate"": 0.6547}}}, ""usage"": {""input_tokens"": 594, ""output_tokens"": 0}}",77.23,indexability,medium,investigate,0.63,2026-09-23 18:43:41
3798,crawl_20260924_001323,cluster_missing_title,Cluster: missing_title (tpl_category_battre-electric-scooters-scooters_1seg),"{""model"": ""laya-rl-agent"", ""answers"": {""category"": {""type"": ""choice"", ""confidence"": 0.1464, ""action"": {""act_probability"": 1.0}, ""choice"": ""metadata"", ""probabilities"": {""metadata"": 0.2841, ""technical"": 0.2168, ""content"": 0.2261, ""internal_linking"": 0.1094, ""structured_data"": 0.031, ""images"": 0.0268, ""indexability"": 0.0327, ""performance"": 0.0731}}, ""severity"": {""type"": ""choice"", ""confidence"": 0.2391, ""action"": {""act_probability"": 1.0}, ""choice"": ""high"", ""probabilities"": {""critical"": 0.0466, ""high"": 0.5364, ""medium"": 0.3303, ""low"": 0.0866}}, ""action"": {""type"": ""choice"", ""confidence"": 0.5633, ""action"": {""act_probability"": 1.0}, ""choice"": ""fix_template"", ""probabilities"": {""fix_template"": 0.734, ""fix_metadata"": 0.0195, ""fix_content"": 0.0234, ""fix_internal_links"": 0.021, ""fix_schema"": 0.0119, ""fix_images"": 0.0069, ""fix_performance"": 0.0095, ""investigate"": 0.1738}}}, ""usage"": {""input_tokens"": 630, ""output_tokens"": 0}}",62.38,metadata,high,fix_template,0.146,2026-09-23 18:43:41
3799,crawl_20260924_001323,cluster_orphan_page,Cluster: orphan_page (tpl_listing_bajaj_2seg),"{""model"": ""laya-rl-agent"", ""answers"": {""category"": {""type"": ""choice"", ""confidence"": 0.337, ""action"": {""act_probability"": 1.0}, ""choice"": ""internal_linking"", ""probabilities"": {""metadata"": 0.0628, ""technical"": 0.2407, ""content"": 0.0636, ""internal_linking"": 0.5367, ""structured_data"": 0.0195, ""images"": 0.0131, ""indexability"": 0.0333, ""performance"": 0.0304}}, ""severity"": {""type"": ""choice"", ""confidence"": 0.1924, ""action"": {""act_probability"": 1.0}, ""choice"": ""high"", ""probabilities"": {""critical"": 0.0835, ""high"": 0.5396, ""medium"": 0.2829, ""low"": 0.0939}}, ""action"": {""type"": ""choice"", ""confidence"": 0.5411, ""action"": {""act_probability"": 1.0}, ""choice"": ""investigate"", ""probabilities"": {""fix_template"": 0.2716, ""fix_metadata"": 0.017, ""fix_content"": 0.0129, ""fix_internal_links"": 0.0222, ""fix_schema"": 0.0121, ""fix_images"": 0.006, ""fix_performance"": 0.0053, ""investigate"": 0.6528}}}, ""usage"": {""input_tokens"": 576, ""output_tokens"": 0}}",60.85,internal_linking,high,investigate,0.337,2026-09-23 18:43:41
3800,crawl_20260924_001323,cluster_missing_h1,Cluster: missing_h1 (tpl_category_application_1seg),"{""model"": ""laya-rl-agent"", ""answers"": {""category"": {""type"": ""choice"", ""confidence"": 0.1818, ""action"": {""act_probability"": 1.0}, ""choice"": ""internal_linking"", ""probabilities"": {""metadata"": 0.1839, ""technical"": 0.2594, ""content"": 0.1904, ""internal_linking"": 0.2626, ""structured_data"": 0.0196, ""images"": 0.0188, ""indexability"": 0.0242, ""performance"": 0.0412}}, ""severity"": {""type"": ""choice"", ""confidence"": 0.1991, ""action"": {""act_probability"": 1.0}, ""choice"": ""high"", ""probabilities"": {""critical"": 0.0625, ""high"": 0.5234, ""medium"": 0.3104, ""low"": 0.1037}}, ""action"": {""type"": ""choice"", ""confidence"": 0.5202, ""action"": {""act_probability"": 1.0}, ""choice"": ""investigate"", ""probabilities"": {""fix_template"": 0.1838, ""fix_metadata"": 0.0421, ""fix_content"": 0.0285, ""fix_internal_links"": 0.0257, ""fix_schema"": 0.0117, ""fix_images"": 0.0058, ""fix_performance"": 0.0046, ""investigate"": 0.6979}}}, ""usage"": {""input_tokens"": 564, ""output_tokens"": 0}}",65.7,internal_linking,high,investigate,0.182,2026-09-23 18:43:41
3801,crawl_20260924_001323,cluster_canonical_mismatch,Cluster: canonical_mismatch (tpl_listing_battre-electric-mobility_2seg),"{""model"": ""laya-rl-agent"", ""answers"": {""category"": {""type"": ""choice"", ""confidence"": 0.1953, ""action"": {""act_probability"": 1.0}, ""choice"": ""technical"", ""probabilities"": {""metadata"": 0.096, ""technical"": 0.4005, ""content"": 0.172, ""internal_linking"": 0.1876, ""structured_data"": 0.0264, ""images"": 0.0166, ""indexability"": 0.0488, ""performance"": 0.0521}}, ""severity"": {""type"": ""choice"", ""confidence"": 0.2436, ""action"": {""act_probability"": 1.0}, ""choice"": ""high"", ""probabilities"": {""critical"": 0.0503, ""high"": 0.526, ""medium"": 0.3496, ""low"": 0.0741}}, ""action"": {""type"": ""choice"", ""confidence"": 0.4236, ""action"": {""act_probability"": 1.0}, ""choice"": ""fix_template"", ""probabilities"": {""fix_template"": 0.5231, ""fix_metadata"": 0.0233, ""fix_content"": 0.0277, ""fix_internal_links"": 0.0437, ""fix_schema"": 0.0183, ""fix_images"": 0.0091, ""fix_performance"": 0.0119, ""investigate"": 0.3429}}}, ""usage"": {""input_tokens"": 609, ""output_tokens"": 0}}",93.1,technical,high,fix_template,0.195,2026-09-23 18:43:41
3802,crawl_20260924_001323,cluster_empty_h1,Cluster: empty_h1 (tpl_model_Nmotors_2seg),"{""model"": ""laya-rl-agent"", ""answers"": {""category"": {""type"": ""choice"", ""confidence"": 0.1916, ""action"": {""act_probability"": 1.0}, ""choice"": ""content"", ""probabilities"": {""metadata"": 0.137, ""technical"": 0.2153, ""content"": 0.3426, ""internal_linking"": 0.1923, ""structured_data"": 0.0215, ""images"": 0.0152, ""indexability"": 0.0323, ""performance"": 0.0438}}, ""severity"": {""type"": ""choice"", ""confidence"": 0.1311, ""action"": {""act_probability"": 1.0}, ""choice"": ""medium"", ""probabilities"": {""critical"": 0.0643, ""high"": 0.3231, ""medium"": 0.4415, ""low"": 0.171}}, ""action"": {""type"": ""choice"", ""confidence"": 0.5446, ""action"": {""act_probability"": 1.0}, ""choice"": ""investigate"", ""probabilities"": {""fix_template"": 0.2082, ""fix_metadata"": 0.0289, ""fix_content"": 0.0213, ""fix_internal_links"": 0.0225, ""fix_schema"": 0.0109, ""fix_images"": 0.0052, ""fix_performance"": 0.0042, ""investigate"": 0.6987}}}, ""usage"": {""input_tokens"": 576, ""output_tokens"": 0}}",74.21,content,medium,investigate,0.192,2026-09-23 18:43:41
3803,crawl_20260924_001323,cluster_duplicate_title_tag,Cluster: duplicate_title_tag (tpl_model_Nmotors_2seg),"{""model"": ""laya-rl-agent"", ""answers"": {""category"": {""type"": ""choice"", ""confidence"": 0.161, ""action"": {""act_probability"": 1.0}, ""choice"": ""technical"", ""probabilities"": {""metadata"": 0.2051, ""technical"": 0.2893, ""content"": 0.2578, ""internal_linking"": 0.101, ""structured_data"": 0.0323, ""images"": 0.0249, ""indexability"": 0.0374, ""performance"": 0.0522}}, ""severity"": {""type"": ""choice"", ""confidence"": 0.1764, ""action"": {""act_probability"": 1.0}, ""choice"": ""medium"", ""probabilities"": {""critical"": 0.0636, ""high"": 0.3079, ""medium"": 0.5046, ""low"": 0.1239}}, ""action"": {""type"": ""choice"", ""confidence"": 0.5692, ""action"": {""act_probability"": 1.0}, ""choice"": ""investigate"", ""probabilities"": {""fix_template"": 0.2627, ""fix_metadata"": 0.0196, ""fix_content"": 0.0123, ""fix_internal_links"": 0.0157, ""fix_schema"": 0.0083, ""fix_images"": 0.004, ""fix_performance"": 0.0036, ""investigate"": 0.6738}}}, ""usage"": {""input_tokens"": 582, ""output_tokens"": 0}}",61.08,technical,medium,investigate,0.161,2026-09-23 18:43:41
3804,crawl_20260924_001323,cluster_thin_content,Cluster: thin_content (tpl_category_application_1seg),"{""model"": ""laya-rl-agent"", ""answers"": {""category"": {""type"": ""choice"", ""confidence"": 0.5479, ""action"": {""act_probability"": 1.0}, ""choice"": ""content"", ""probabilities"": {""metadata"": 0.0512, ""technical"": 0.1099, ""content"": 0.7518, ""internal_linking"": 0.0433, ""structured_data"": 0.0082, ""images"": 0.0074, ""indexability"": 0.0102, ""performance"": 0.0179}}, ""severity"": {""type"": ""choice"", ""confidence"": 0.1546, ""action"": {""act_probability"": 1.0}, ""choice"": ""high"", ""probabilities"": {""critical"": 0.0657, ""high"": 0.4056, ""medium"": 0.4029, ""low"": 0.1259}}, ""action"": {""type"": ""choice"", ""confidence"": 0.41, ""action"": {""act_probability"": 1.0}, ""choice"": ""investigate"", ""probabilities"": {""fix_template"": 0.3213, ""fix_metadata"": 0.0239, ""fix_content"": 0.1075, ""fix_internal_links"": 0.0197, ""fix_schema"": 0.011, ""fix_images"": 0.0063, ""fix_performance"": 0.0057, ""investigate"": 0.5047}}}, ""usage"": {""input_tokens"": 561, ""output_tokens"": 0}}",56.6,content,high,investigate,0.548,2026-09-23 18:43:41
3805,crawl_20260924_001323,cluster_missing_meta_description,Cluster: missing_meta_description (tpl_category_battre-electric-scooters-scooters_1seg),"{""model"": ""laya-rl-agent"", ""answers"": {""category"": {""type"": ""choice"", ""confidence"": 0.6455, ""action"": {""act_probability"": 1.0}, ""choice"": ""metadata"", ""probabilities"": {""metadata"": 0.836, ""technical"": 0.0496, ""content"": 0.0387, ""internal_linking"": 0.0222, ""structured_data"": 0.011, ""images"": 0.0098, ""indexability"": 0.0117, ""performance"": 0.0211}}, ""severity"": {""type"": ""choice"", ""confidence"": 0.2669, ""action"": {""act_probability"": 1.0}, ""choice"": ""high"", ""probabilities"": {""critical"": 0.042, ""high"": 0.5677, ""medium"": 0.3128, ""low"": 0.0775}}, ""action"": {""type"": ""choice"", ""confidence"": 0.4291, ""action"": {""act_probability"": 1.0}, ""choice"": ""fix_metadata"", ""probabilities"": {""fix_template"": 0.2871, ""fix_metadata"": 0.5396, ""fix_content"": 0.0137, ""fix_internal_links"": 0.0171, ""fix_schema"": 0.0112, ""fix_images"": 0.0054, ""fix_performance"": 0.0074, ""investigate"": 0.1184}}}, ""usage"": {""input_tokens"": 636, ""output_tokens"": 0}}",84.24,metadata,high,fix_metadata,0.645,2026-09-23 18:43:41
3806,crawl_20260924_001323,cluster_empty_anchor_text,Cluster: empty_anchor_text (tpl_listing_bajaj_2seg),"{""model"": ""laya-rl-agent"", ""answers"": {""category"": {""type"": ""choice"", ""confidence"": 0.3891, ""action"": {""act_probability"": 1.0}, ""choice"": ""internal_linking"", ""probabilities"": {""metadata"": 0.0552, ""technical"": 0.1723, ""content"": 0.1239, ""internal_linking"": 0.592, ""structured_data"": 0.0127, ""images"": 0.009, ""indexability"": 0.0217, ""performance"": 0.0133}}, ""severity"": {""type"": ""choice"", ""confidence"": 0.103, ""action"": {""act_probability"": 1.0}, ""choice"": ""medium"", ""probabilities"": {""critical"": 0.0784, ""high"": 0.3115, ""medium"": 0.4192, ""low"": 0.191}}, ""action"": {""type"": ""choice"", ""confidence"": 0.6025, ""action"": {""act_probability"": 1.0}, ""choice"": ""investigate"", ""probabilities"": {""fix_template"": 0.2187, ""fix_metadata"": 0.0128, ""fix_content"": 0.01, ""fix_internal_links"": 0.0183, ""fix_schema"": 0.0084, ""fix_images"": 0.0045, ""fix_performance"": 0.0036, ""investigate"": 0.7236}}}, ""usage"": {""input_tokens"": 579, ""output_tokens"": 0}}",71.17,internal_linking,medium,investigate,0.389,2026-09-23 18:43:41
