cluster_id,issue,category,priority,severity,affected_urls_count,affected_templates_count,primary_affected_template,scope,evidence_summary,recommended_action,engineering_fix_location,sample_urls,laya_action
cluster_sitemap_url_has_noindex,sitemap_url_has_noindex,indexability,P0,critical,68,67,tpl_model_Nmotors_2seg,site_wide,"Observed on 68 URLs across 67 templates. Primary concentration in 'tpl_model_Nmotors_2seg' (2 pages affected, 2.9% of total occurrences).",Immediate engineering blocker: resolve sitemap url has noindex across 68 URLs.,Global layout / site-wide metadata service,"['https://www.drivio.in/22motors-scooters', 'https://www.drivio.in/avan-motors-scooters', 'https://www.drivio.in/avera-scooters-scooters', 'https://www.drivio.in/bajaj-urbanite-scooters', 'https://www.drivio.in/battre-electric-scooters-scooters', 'https://www.drivio.in/big-dog-motorcycles-scooters', 'https://www.drivio.in/bird-scooters', 'https://www.drivio.in/bpg-scooters']",investigate
cluster_missing_title,missing_title,metadata,P0,critical,25,25,tpl_category_battre-electric-scooters-scooters_1seg,page_opportunity,"Observed on 25 URLs across 25 templates. Primary concentration in 'tpl_category_battre-electric-scooters-scooters_1seg' (1 pages affected, 4.0% of total occurrences).",Immediate engineering blocker: resolve missing title across 25 URLs.,Individual page content / route handlers,"['https://www.drivio.in/battre-electric-scooters-scooters', 'https://www.drivio.in/bird-scooters', 'https://www.drivio.in/bsa-scooters', 'https://www.drivio.in/devot-scooters', 'https://www.drivio.in/dispatch-ev-scooters', 'https://www.drivio.in/everve-motors-scooters', 'https://www.drivio.in/fb-mondial-scooters', 'https://www.drivio.in/flyrides-ev']",fix_template
cluster_orphan_page,orphan_page,internal_linking,P1,high,7505,219,tpl_article_news_2seg,site_wide,"Observed on 7,505 URLs across 219 templates. Primary concentration in 'tpl_article_news_2seg' (940 pages affected, 12.5% of total occurrences).",High-impact fix: update tpl_article_news_2seg layout to resolve orphan page across 7505 pages.,Global layout / site-wide metadata service,"['https://www.drivio.in/featured-stories/10-best-two-wheeler-apps-for-indians', 'https://www.drivio.in/featured-stories/10-reasons-why-a-two-wheeler-training-course-will-help-you', 'https://www.drivio.in/featured-stories/2023-hero-maestro-edge-know-what-hero-motocorps-best-selling-scooter-has-to-offer', 'https://www.drivio.in/featured-stories/2023-honda-dio-is-it-still-relevant-as-a-modern-moto-scooter', 'https://www.drivio.in/featured-stories/2023-royal-enfield-bullet-350-whats-new', 'https://www.drivio.in/featured-stories/2023-honda-hness-cb350-and-cb350rs-are-here', 'https://www.drivio.in/featured-stories/2023-yamaha-ray-zr-125-yamahas-razor-sharp-take-on-the-125cc-scooter-category', 'https://www.drivio.in/featured-stories/2025-yamaha-mt-15-top-5-highlights-that-every-rider-needs-to-know']",investigate
cluster_canonical_mismatch,canonical_mismatch,canonical,P1,low,1146,24,tpl_brand_featured-stories_2seg,site_wide,"Observed on 1,146 URLs across 24 templates. Primary concentration in 'tpl_brand_featured-stories_2seg' (183 pages affected, 16.0% of total occurrences).",High-impact fix: update tpl_brand_featured-stories_2seg layout to resolve canonical mismatch across 1146 pages.,Global layout / site-wide metadata service,"['https://drivio.in/featured-stories/10-best-two-wheeler-apps-for-indians', 'https://drivio.in/featured-stories/2023-honda-dio-is-it-still-relevant-as-a-modern-moto-scooter', 'https://drivio.in/featured-stories/10-reasons-why-a-two-wheeler-training-course-will-help-you', 'https://drivio.in/featured-stories/2023-hero-maestro-edge-know-what-hero-motocorps-best-selling-scooter-has-to-offer', 'https://drivio.in/featured-stories/2023-royal-enfield-bullet-350-whats-new', 'https://drivio.in/featured-stories/2023-honda-hness-cb350-and-cb350rs-are-here', 'https://drivio.in/featured-stories/2023-yamaha-ray-zr-125-yamahas-razor-sharp-take-on-the-125cc-scooter-category', 'https://drivio.in/featured-stories/2024-kawasaki-versys-650-launched-5-must-know-highlights']",fix_template
cluster_weakly_linked_product_page,weakly_linked_product_page,internal_linking,P1,high,744,8,tpl_model_bikes_3seg,site_wide,"Observed on 744 URLs across 8 templates. Primary concentration in 'tpl_model_bikes_3seg' (212 pages affected, 28.5% of total occurrences).",High-impact fix: update tpl_model_bikes_3seg layout to resolve weakly linked product page across 744 pages.,Global layout / site-wide metadata service,"['https://www.drivio.in/bikes/hero-electric/nyx', 'https://www.drivio.in/bikes/joy-e-bike/monster', 'https://www.drivio.in/bikes/earth-energy-ev/evolve-r', 'https://www.drivio.in/bikes/dao/703', 'https://www.drivio.in/bikes/ola-electric/ola-roadster', 'https://www.drivio.in/bikes/rowwet/trono', 'https://www.drivio.in/bikes/bmw/bmw-g-310-gs', 'https://www.drivio.in/bikes/bmw/k-1600-grand-america']",investigate
cluster_missing_h1,missing_h1,headings,P1,high,135,10,tpl_brand_electric-vehicles_2seg,site_wide,"Observed on 135 URLs across 10 templates. Primary concentration in 'tpl_brand_electric-vehicles_2seg' (88 pages affected, 65.2% of total occurrences).",High-impact fix: update tpl_brand_electric-vehicles_2seg layout to resolve missing h1 across 135 pages.,Global layout / site-wide metadata service,"['https://www.drivio.in/bikes/honda', 'https://www.drivio.in/bikes/hero', 'https://www.drivio.in/bikes/royal-enfield', 'https://www.drivio.in/bikes/bajaj', 'https://www.drivio.in/bikes/yamaha', 'https://www.drivio.in/bikes/ktm', 'https://www.drivio.in/bikes/suzuki', 'https://www.drivio.in/bikes/harley-davidson']",investigate
cluster_http_404_error,http_404_error,technical,P1,high,8,5,tpl_article_featured-stories_2seg,page_opportunity,"Observed on 8 URLs across 5 templates. Primary concentration in 'tpl_article_featured-stories_2seg' (2 pages affected, 25.0% of total occurrences).",High-impact fix: update tpl_article_featured-stories_2seg layout to resolve http 404 error across 8 pages.,Individual page content / route handlers,"['https://www.drivio.in/featured-stories/Hero Glamour', 'https://www.drivio.in/featured-stories/Hero Splendor Plus', 'https://www.drivio.in/featured-stories/drivio.in/jawa/perak', 'https://www.drivio.in/featured-stories/drivio.in/yamaha/r15-v4', 'https://www.drivio.in/news/drivio.in/bajaj/dominar-250', 'https://www.drivio.in/bikes/undefined/undefined', 'https://www.drivio.in/bikes/ducati/ducati-monster', 'https://www.drivio.in/electric-vehicles/battre-electric-mobility/battre-electric-gps:ie']",fix_template
cluster_duplicate_title_tag,duplicate_title_tag,duplicates,P2,medium,19075,183,tpl_model_bikes_3seg,site_wide,"Observed on 19,075 URLs across 183 templates. Primary concentration in 'tpl_model_bikes_3seg' (2,340 pages affected, 12.3% of total occurrences).",Important architectural improvement: revise Global layout / site-wide metadata service to supply unique structured content.,Global layout / site-wide metadata service,"['https://www.drivio.in/featured-stories/10-best-two-wheeler-apps-for-indians', 'https://drivio.in/featured-stories/10-best-two-wheeler-apps-for-indians', 'https://www.drivio.in/featured-stories/10-reasons-why-a-two-wheeler-training-course-will-help-you', 'https://drivio.in/featured-stories/10-reasons-why-a-two-wheeler-training-course-will-help-you', 'https://www.drivio.in/featured-stories/2023-hero-maestro-edge-know-what-hero-motocorps-best-selling-scooter-has-to-offer', 'https://drivio.in/featured-stories/2023-hero-maestro-edge-know-what-hero-motocorps-best-selling-scooter-has-to-offer', 'https://www.drivio.in/featured-stories/2023-honda-dio-is-it-still-relevant-as-a-modern-moto-scooter', 'https://drivio.in/featured-stories/2023-honda-dio-is-it-still-relevant-as-a-modern-moto-scooter']",investigate
cluster_empty_h1,empty_h1,headings,P2,high,31,17,tpl_listing_hero_2seg,page_opportunity,"Observed on 31 URLs across 17 templates. Primary concentration in 'tpl_listing_hero_2seg' (6 pages affected, 19.4% of total occurrences).",Important architectural improvement: revise Individual page content / route handlers to supply unique structured content.,Individual page content / route handlers,"['https://www.drivio.in/22motors/jawatest1', 'https://www.drivio.in/ampere/magnus-ex', 'https://www.drivio.in/aprilia/sxr-160', 'https://www.drivio.in/aprilia/aprilia-rs-457', 'https://www.drivio.in/aprilia/sr-160', 'https://www.drivio.in/ather-energy/ather-450x', 'https://www.drivio.in/ather-energy/ather-450s', 'https://www.drivio.in/ather-energy/ather-450-apex']",investigate
cluster_missing_meta_description,missing_meta_description,metadata,P2,medium,25,25,tpl_category_battre-electric-scooters-scooters_1seg,page_opportunity,"Observed on 25 URLs across 25 templates. Primary concentration in 'tpl_category_battre-electric-scooters-scooters_1seg' (1 pages affected, 4.0% of total occurrences).",Important architectural improvement: revise Individual page content / route handlers to supply unique structured content.,Individual page content / route handlers,"['https://www.drivio.in/battre-electric-scooters-scooters', 'https://www.drivio.in/bird-scooters', 'https://www.drivio.in/bsa-scooters', 'https://www.drivio.in/devot-scooters', 'https://www.drivio.in/dispatch-ev-scooters', 'https://www.drivio.in/everve-motors-scooters', 'https://www.drivio.in/fb-mondial-scooters', 'https://www.drivio.in/flyrides-ev']",fix_template
cluster_thin_content,thin_content,content,P2,medium,4,4,tpl_category_application_1seg,page_opportunity,"Observed on 4 URLs across 4 templates. Primary concentration in 'tpl_category_application_1seg' (1 pages affected, 25.0% of total occurrences).",Important architectural improvement: revise Individual page content / route handlers to supply unique structured content.,Individual page content / route handlers,"['https://www.drivio.in/application', 'https://www.drivio.in/banking-partners', 'https://www.drivio.in/biker-dost', 'https://www.drivio.in/campaign-form']",investigate
