opportunity_id,fingerprint,display_id,run_id,type,observation,diagnosis,hypothesis,action,implementation_location,affected_templates_json,affected_urls_count,sample_urls_json,opportunity_tier,confidence_tier,effort,priority_score,priority_factors_json,verification_spec
OPP-GEO-SEO-001,f5a2c8ec8cfdacad,GEO-SEO-001,crawl_20260923_234236,GEO,GEO readiness score for https://www.drivio.in/featured-stories/10-best-two-wheeler-apps-for-indians is 25.0/100. Gaps: entity naming/disambiguation and citation-ready fact density.,"Page lacks the structured entity signals and factual density required for confident citation by generative AI engines (SGE, Perplexity, Bing Copilot).","Adding entity disambiguation markup, factual summaries, and authoritative citations increases probability of AI citation and generative-search visibility.","Add entity-clear product name in <title>/<h1>, structured specification summary, and authoritative source references. Gaps: entity naming/disambiguation and citation-ready fact density.",Page head + main content on https://www.drivio.in/featured-stories/10-best-two-wheeler-apps-for-indians,[],1,"[""https://www.drivio.in/featured-stories/10-best-two-wheeler-apps-for-indians""]",Medium,Medium,S,53.2,"{""visibility"": 55.0, ""gap"": 80.0, ""page_importance"": 70.0, ""template_scope"": 25.0, ""technical_severity"": 25.0, ""ctr_headroom"": 55.0, ""link_gap"": 35.0}",entity_clarity_score('https://www.drivio.in/featured-stories/10-best-two-wheeler-apps-for-indians') >= 60
OPP-GEO-SEO-002,7ad7b813978163d4,GEO-SEO-002,crawl_20260923_234236,GEO,GEO readiness score for https://www.drivio.in/featured-stories/10-reasons-why-a-two-wheeler-training-course-will-help-you is 25.0/100. Gaps: entity naming/disambiguation and citation-ready fact density.,"Page lacks the structured entity signals and factual density required for confident citation by generative AI engines (SGE, Perplexity, Bing Copilot).","Adding entity disambiguation markup, factual summaries, and authoritative citations increases probability of AI citation and generative-search visibility.","Add entity-clear product name in <title>/<h1>, structured specification summary, and authoritative source references. Gaps: entity naming/disambiguation and citation-ready fact density.",Page head + main content on https://www.drivio.in/featured-stories/10-reasons-why-a-two-wheeler-training-course-will-help-you,[],1,"[""https://www.drivio.in/featured-stories/10-reasons-why-a-two-wheeler-training-course-will-help-you""]",Medium,Medium,S,53.2,"{""visibility"": 55.0, ""gap"": 80.0, ""page_importance"": 70.0, ""template_scope"": 25.0, ""technical_severity"": 25.0, ""ctr_headroom"": 55.0, ""link_gap"": 35.0}",entity_clarity_score('https://www.drivio.in/featured-stories/10-reasons-why-a-two-wheeler-training-course-will-help-you') >= 60
OPP-GEO-SEO-003,1fbdf2f56feafa33,GEO-SEO-003,crawl_20260923_234236,GEO,GEO readiness score for https://www.drivio.in/featured-stories/2023-hero-maestro-edge-know-what-hero-motocorps-best-selling-scooter-has-to-offer is 25.0/100. Gaps: entity naming/disambiguation and citation-ready fact density.,"Page lacks the structured entity signals and factual density required for confident citation by generative AI engines (SGE, Perplexity, Bing Copilot).","Adding entity disambiguation markup, factual summaries, and authoritative citations increases probability of AI citation and generative-search visibility.","Add entity-clear product name in <title>/<h1>, structured specification summary, and authoritative source references. Gaps: entity naming/disambiguation and citation-ready fact density.",Page head + main content on https://www.drivio.in/featured-stories/2023-hero-maestro-edge-know-what-hero-motocorps-best-selling-scooter-has-to-offer,[],1,"[""https://www.drivio.in/featured-stories/2023-hero-maestro-edge-know-what-hero-motocorps-best-selling-scooter-has-to-offer""]",Medium,Medium,S,53.2,"{""visibility"": 55.0, ""gap"": 80.0, ""page_importance"": 70.0, ""template_scope"": 25.0, ""technical_severity"": 25.0, ""ctr_headroom"": 55.0, ""link_gap"": 35.0}",entity_clarity_score('https://www.drivio.in/featured-stories/2023-hero-maestro-edge-know-what-hero-motocorps-best-selling-scooter-has-to-offer') >= 60
OPP-GEO-SEO-004,ef45df80ac9b6695,GEO-SEO-004,crawl_20260923_234236,GEO,GEO readiness score for https://www.drivio.in/featured-stories/2023-honda-dio-is-it-still-relevant-as-a-modern-moto-scooter is 25.0/100. Gaps: entity naming/disambiguation and citation-ready fact density.,"Page lacks the structured entity signals and factual density required for confident citation by generative AI engines (SGE, Perplexity, Bing Copilot).","Adding entity disambiguation markup, factual summaries, and authoritative citations increases probability of AI citation and generative-search visibility.","Add entity-clear product name in <title>/<h1>, structured specification summary, and authoritative source references. Gaps: entity naming/disambiguation and citation-ready fact density.",Page head + main content on https://www.drivio.in/featured-stories/2023-honda-dio-is-it-still-relevant-as-a-modern-moto-scooter,[],1,"[""https://www.drivio.in/featured-stories/2023-honda-dio-is-it-still-relevant-as-a-modern-moto-scooter""]",Medium,Medium,S,53.2,"{""visibility"": 55.0, ""gap"": 80.0, ""page_importance"": 70.0, ""template_scope"": 25.0, ""technical_severity"": 25.0, ""ctr_headroom"": 55.0, ""link_gap"": 35.0}",entity_clarity_score('https://www.drivio.in/featured-stories/2023-honda-dio-is-it-still-relevant-as-a-modern-moto-scooter') >= 60
OPP-GEO-SEO-005,d682fdd471af4764,GEO-SEO-005,crawl_20260923_234236,GEO,GEO readiness score for https://www.drivio.in/featured-stories/2023-royal-enfield-bullet-350-whats-new is 25.0/100. Gaps: entity naming/disambiguation and citation-ready fact density.,"Page lacks the structured entity signals and factual density required for confident citation by generative AI engines (SGE, Perplexity, Bing Copilot).","Adding entity disambiguation markup, factual summaries, and authoritative citations increases probability of AI citation and generative-search visibility.","Add entity-clear product name in <title>/<h1>, structured specification summary, and authoritative source references. Gaps: entity naming/disambiguation and citation-ready fact density.",Page head + main content on https://www.drivio.in/featured-stories/2023-royal-enfield-bullet-350-whats-new,[],1,"[""https://www.drivio.in/featured-stories/2023-royal-enfield-bullet-350-whats-new""]",Medium,Medium,S,53.2,"{""visibility"": 55.0, ""gap"": 80.0, ""page_importance"": 70.0, ""template_scope"": 25.0, ""technical_severity"": 25.0, ""ctr_headroom"": 55.0, ""link_gap"": 35.0}",entity_clarity_score('https://www.drivio.in/featured-stories/2023-royal-enfield-bullet-350-whats-new') >= 60
OPP-GEO-SEO-006,563586649288442a,GEO-SEO-006,crawl_20260923_234236,GEO,GEO readiness score for https://www.drivio.in/featured-stories/2023-honda-hness-cb350-and-cb350rs-are-here is 25.0/100. Gaps: entity naming/disambiguation and citation-ready fact density.,"Page lacks the structured entity signals and factual density required for confident citation by generative AI engines (SGE, Perplexity, Bing Copilot).","Adding entity disambiguation markup, factual summaries, and authoritative citations increases probability of AI citation and generative-search visibility.","Add entity-clear product name in <title>/<h1>, structured specification summary, and authoritative source references. Gaps: entity naming/disambiguation and citation-ready fact density.",Page head + main content on https://www.drivio.in/featured-stories/2023-honda-hness-cb350-and-cb350rs-are-here,[],1,"[""https://www.drivio.in/featured-stories/2023-honda-hness-cb350-and-cb350rs-are-here""]",Medium,Medium,S,53.2,"{""visibility"": 55.0, ""gap"": 80.0, ""page_importance"": 70.0, ""template_scope"": 25.0, ""technical_severity"": 25.0, ""ctr_headroom"": 55.0, ""link_gap"": 35.0}",entity_clarity_score('https://www.drivio.in/featured-stories/2023-honda-hness-cb350-and-cb350rs-are-here') >= 60
OPP-GEO-SEO-007,44fe45233e0d0c27,GEO-SEO-007,crawl_20260923_234236,GEO,GEO readiness score for https://www.drivio.in/featured-stories/2024-kawasaki-versys-650-launched-5-must-know-highlights is 25.0/100. Gaps: entity naming/disambiguation and citation-ready fact density.,"Page lacks the structured entity signals and factual density required for confident citation by generative AI engines (SGE, Perplexity, Bing Copilot).","Adding entity disambiguation markup, factual summaries, and authoritative citations increases probability of AI citation and generative-search visibility.","Add entity-clear product name in <title>/<h1>, structured specification summary, and authoritative source references. Gaps: entity naming/disambiguation and citation-ready fact density.",Page head + main content on https://www.drivio.in/featured-stories/2024-kawasaki-versys-650-launched-5-must-know-highlights,[],1,"[""https://www.drivio.in/featured-stories/2024-kawasaki-versys-650-launched-5-must-know-highlights""]",Medium,Medium,S,53.2,"{""visibility"": 55.0, ""gap"": 80.0, ""page_importance"": 70.0, ""template_scope"": 25.0, ""technical_severity"": 25.0, ""ctr_headroom"": 55.0, ""link_gap"": 35.0}",entity_clarity_score('https://www.drivio.in/featured-stories/2024-kawasaki-versys-650-launched-5-must-know-highlights') >= 60
OPP-GEO-SEO-008,01a1f6f4f64c2475,GEO-SEO-008,crawl_20260923_234236,GEO,GEO readiness score for https://www.drivio.in/featured-stories/2023-yamaha-ray-zr-125-yamahas-razor-sharp-take-on-the-125cc-scooter-category is 25.0/100. Gaps: entity naming/disambiguation and citation-ready fact density.,"Page lacks the structured entity signals and factual density required for confident citation by generative AI engines (SGE, Perplexity, Bing Copilot).","Adding entity disambiguation markup, factual summaries, and authoritative citations increases probability of AI citation and generative-search visibility.","Add entity-clear product name in <title>/<h1>, structured specification summary, and authoritative source references. Gaps: entity naming/disambiguation and citation-ready fact density.",Page head + main content on https://www.drivio.in/featured-stories/2023-yamaha-ray-zr-125-yamahas-razor-sharp-take-on-the-125cc-scooter-category,[],1,"[""https://www.drivio.in/featured-stories/2023-yamaha-ray-zr-125-yamahas-razor-sharp-take-on-the-125cc-scooter-category""]",Medium,Medium,S,53.2,"{""visibility"": 55.0, ""gap"": 80.0, ""page_importance"": 70.0, ""template_scope"": 25.0, ""technical_severity"": 25.0, ""ctr_headroom"": 55.0, ""link_gap"": 35.0}",entity_clarity_score('https://www.drivio.in/featured-stories/2023-yamaha-ray-zr-125-yamahas-razor-sharp-take-on-the-125cc-scooter-category') >= 60
OPP-GEO-SEO-009,196640c6508892f8,GEO-SEO-009,crawl_20260923_234236,GEO,GEO readiness score for https://www.drivio.in/featured-stories/2025-yamaha-mt-15-top-5-highlights-that-every-rider-needs-to-know is 25.0/100. Gaps: entity naming/disambiguation and citation-ready fact density.,"Page lacks the structured entity signals and factual density required for confident citation by generative AI engines (SGE, Perplexity, Bing Copilot).","Adding entity disambiguation markup, factual summaries, and authoritative citations increases probability of AI citation and generative-search visibility.","Add entity-clear product name in <title>/<h1>, structured specification summary, and authoritative source references. Gaps: entity naming/disambiguation and citation-ready fact density.",Page head + main content on https://www.drivio.in/featured-stories/2025-yamaha-mt-15-top-5-highlights-that-every-rider-needs-to-know,[],1,"[""https://www.drivio.in/featured-stories/2025-yamaha-mt-15-top-5-highlights-that-every-rider-needs-to-know""]",Medium,Medium,S,53.2,"{""visibility"": 55.0, ""gap"": 80.0, ""page_importance"": 70.0, ""template_scope"": 25.0, ""technical_severity"": 25.0, ""ctr_headroom"": 55.0, ""link_gap"": 35.0}",entity_clarity_score('https://www.drivio.in/featured-stories/2025-yamaha-mt-15-top-5-highlights-that-every-rider-needs-to-know') >= 60
OPP-GEO-SEO-010,68d8a2ab719e8f64,GEO-SEO-010,crawl_20260923_234236,GEO,GEO readiness score for https://www.drivio.in/featured-stories/2024-yezdi-roadking-500-launch-soon-exciting-must-know-aspects is 25.0/100. Gaps: entity naming/disambiguation and citation-ready fact density.,"Page lacks the structured entity signals and factual density required for confident citation by generative AI engines (SGE, Perplexity, Bing Copilot).","Adding entity disambiguation markup, factual summaries, and authoritative citations increases probability of AI citation and generative-search visibility.","Add entity-clear product name in <title>/<h1>, structured specification summary, and authoritative source references. Gaps: entity naming/disambiguation and citation-ready fact density.",Page head + main content on https://www.drivio.in/featured-stories/2024-yezdi-roadking-500-launch-soon-exciting-must-know-aspects,[],1,"[""https://www.drivio.in/featured-stories/2024-yezdi-roadking-500-launch-soon-exciting-must-know-aspects""]",Medium,Medium,S,53.2,"{""visibility"": 55.0, ""gap"": 80.0, ""page_importance"": 70.0, ""template_scope"": 25.0, ""technical_severity"": 25.0, ""ctr_headroom"": 55.0, ""link_gap"": 35.0}",entity_clarity_score('https://www.drivio.in/featured-stories/2024-yezdi-roadking-500-launch-soon-exciting-must-know-aspects') >= 60
OPP-GEO-SEO-011,870df0285e24de41,GEO-SEO-011,crawl_20260923_234236,GEO,GEO readiness score for https://www.drivio.in/featured-stories/5-reasons-why-you-should-avoid-the-ktm-rc-125 is 25.0/100. Gaps: entity naming/disambiguation and citation-ready fact density.,"Page lacks the structured entity signals and factual density required for confident citation by generative AI engines (SGE, Perplexity, Bing Copilot).","Adding entity disambiguation markup, factual summaries, and authoritative citations increases probability of AI citation and generative-search visibility.","Add entity-clear product name in <title>/<h1>, structured specification summary, and authoritative source references. Gaps: entity naming/disambiguation and citation-ready fact density.",Page head + main content on https://www.drivio.in/featured-stories/5-reasons-why-you-should-avoid-the-ktm-rc-125,[],1,"[""https://www.drivio.in/featured-stories/5-reasons-why-you-should-avoid-the-ktm-rc-125""]",Medium,Medium,S,53.2,"{""visibility"": 55.0, ""gap"": 80.0, ""page_importance"": 70.0, ""template_scope"": 25.0, ""technical_severity"": 25.0, ""ctr_headroom"": 55.0, ""link_gap"": 35.0}",entity_clarity_score('https://www.drivio.in/featured-stories/5-reasons-why-you-should-avoid-the-ktm-rc-125') >= 60
