id,crawl_id,url,page_type,template,category,issue,severity,evidence,recommendation,source,laya_category,laya_severity,laya_action,laya_confidence
2,crawl_20260923_234141,https://www.drivio.in/,homepage,tpl_homepage,headings,missing_h1,high,Page has no <h1> heading tag.,"Add a clear, unique <h1> tag defining the main topic of the page.",deterministic_rule,,,,
9,crawl_20260923_234141,https://www.drivio.in/22motors-scooters,category,tpl_category_Nmotors-scooters_1seg,indexability,sitemap_url_has_noindex,critical,"URL is listed in XML sitemap but returns noindex directive: 'noindex, nofollow, noindex, nofollow'.",Remove noindex from this page or remove the URL from XML sitemaps to resolve conflict.,deterministic_rule,,,,
14,crawl_20260923_234141,https://www.drivio.in/22motors/jawatest1,listing,tpl_listing_Nmotors_2seg,headings,empty_h1,high,The <h1> tag exists but contains only whitespace or no visible text.,"Ensure the <h1> tag contains concise, human-readable keyword text.",deterministic_rule,,,,
15,crawl_20260923_234141,https://www.drivio.in/22motors/jawatest1,listing,tpl_listing_Nmotors_2seg,indexability,sitemap_url_has_noindex,critical,"URL is listed in XML sitemap but returns noindex directive: 'noindex, nofollow, noindex, nofollow'.",Remove noindex from this page or remove the URL from XML sitemaps to resolve conflict.,deterministic_rule,,,,
24,crawl_20260923_234141,https://www.drivio.in/22motors/testmodel,model,tpl_model_Nmotors_2seg,headings,empty_h1,high,The <h1> tag exists but contains only whitespace or no visible text.,"Ensure the <h1> tag contains concise, human-readable keyword text.",deterministic_rule,,,,
25,crawl_20260923_234141,https://www.drivio.in/22motors/testmodel,model,tpl_model_Nmotors_2seg,indexability,sitemap_url_has_noindex,critical,"URL is listed in XML sitemap but returns noindex directive: 'noindex, nofollow, noindex, nofollow'.",Remove noindex from this page or remove the URL from XML sitemaps to resolve conflict.,deterministic_rule,,,,
30,crawl_20260923_234141,https://www.drivio.in/22motors/testmodel1,model,tpl_model_Nmotors_2seg,headings,empty_h1,high,The <h1> tag exists but contains only whitespace or no visible text.,"Ensure the <h1> tag contains concise, human-readable keyword text.",deterministic_rule,,,,
31,crawl_20260923_234141,https://www.drivio.in/22motors/testmodel1,model,tpl_model_Nmotors_2seg,indexability,sitemap_url_has_noindex,critical,"URL is listed in XML sitemap but returns noindex directive: 'noindex, nofollow, noindex, nofollow'.",Remove noindex from this page or remove the URL from XML sitemaps to resolve conflict.,deterministic_rule,,,,
96,crawl_20260923_234141,https://www.drivio.in/application,category,tpl_category_application_1seg,headings,missing_h1,high,Page has no <h1> heading tag.,"Add a clear, unique <h1> tag defining the main topic of the page.",deterministic_rule,,,,
136,crawl_20260923_234141,https://www.drivio.in/adventure,category,tpl_category_adventure_1seg,internal_linking,orphan_page,high,Page has 0 inbound internal links from any crawled page on the site.,"Link to this page from relevant category, navigation, or parent pages.",deterministic_rule,,,,
137,crawl_20260923_234141,https://www.drivio.in/aftek-motors-scooters,category,tpl_category_aftek-motors-scooters_1seg,internal_linking,orphan_page,high,Page has 0 inbound internal links from any crawled page on the site.,"Link to this page from relevant category, navigation, or parent pages.",deterministic_rule,,,,
138,crawl_20260923_234141,https://www.drivio.in/22motors/jawatest1,listing,tpl_listing_Nmotors_2seg,internal_linking,orphan_page,high,Page has 0 inbound internal links from any crawled page on the site.,"Link to this page from relevant category, navigation, or parent pages.",deterministic_rule,,,,
139,crawl_20260923_234141,https://www.drivio.in/aeroride/e-spark,listing,tpl_listing_aeroride_2seg,internal_linking,orphan_page,high,Page has 0 inbound internal links from any crawled page on the site.,"Link to this page from relevant category, navigation, or parent pages.",deterministic_rule,,,,
140,crawl_20260923_234141,https://www.drivio.in/aeroride/aero,listing,tpl_listing_aeroride_2seg,internal_linking,orphan_page,high,Page has 0 inbound internal links from any crawled page on the site.,"Link to this page from relevant category, navigation, or parent pages.",deterministic_rule,,,,
