opportunity_id,fingerprint,display_id,run_id,type,observation,diagnosis,hypothesis,action,implementation_location,affected_templates_json,affected_urls_count,sample_urls_json,opportunity_tier,confidence_tier,effort,priority_score,priority_factors_json,verification_spec
OPP-LINK-SEO-057,9bd73e7e8352230d,LINK-SEO-057,crawl_20260923_234236,LINK,Target page https://www.drivio.in/bikes/yamaha/aerox-155/reviews has 3 high-relevance inbound internal link injection candidates.,Target page receives insufficient internal link equity relative to its commercial or topical relevance.,Injecting 3 contextual internal links with descriptive anchor text improves crawl accessibility and distributes PageRank mass.,"Add contextual internal links to https://www.drivio.in/bikes/yamaha/aerox-155/reviews from source pages ['https://www.drivio.in/scooters/yamaha', 'https://www.drivio.in/bikes/yamaha', 'https://www.drivio.in/bikes'] with candidate anchors [None, None, None].",Source article / category body content,[],1,"[""https://www.drivio.in/bikes/yamaha/aerox-155/reviews"", ""https://www.drivio.in/scooters/yamaha"", ""https://www.drivio.in/bikes/yamaha"", ""https://www.drivio.in/bikes""]",Medium,High,S,55.6,"{""visibility"": 60.0, ""gap"": 70.0, ""page_importance"": 75.0, ""template_scope"": 30.0, ""technical_severity"": 30.0, ""ctr_headroom"": 40.0, ""link_gap"": 75.0}",inbound_link_exists('https://www.drivio.in/bikes/yamaha/aerox-155/reviews') == True
OPP-LINK-SEO-064,49551004483eaf1d,LINK-SEO-064,crawl_20260923_234236,LINK,Target page https://www.drivio.in/bikes/hero/passion-plus/reviews has 3 high-relevance inbound internal link injection candidates.,Target page receives insufficient internal link equity relative to its commercial or topical relevance.,Injecting 3 contextual internal links with descriptive anchor text improves crawl accessibility and distributes PageRank mass.,"Add contextual internal links to https://www.drivio.in/bikes/hero/passion-plus/reviews from source pages ['https://www.drivio.in/bikes/hero', 'https://www.drivio.in/scooters/hero', 'https://www.drivio.in/bikes'] with candidate anchors [None, None, None].",Source article / category body content,[],1,"[""https://www.drivio.in/bikes/hero/passion-plus/reviews"", ""https://www.drivio.in/bikes/hero"", ""https://www.drivio.in/scooters/hero"", ""https://www.drivio.in/bikes""]",Medium,High,S,55.6,"{""visibility"": 60.0, ""gap"": 70.0, ""page_importance"": 75.0, ""template_scope"": 30.0, ""technical_severity"": 30.0, ""ctr_headroom"": 40.0, ""link_gap"": 75.0}",inbound_link_exists('https://www.drivio.in/bikes/hero/passion-plus/reviews') == True
OPP-LINK-SEO-079,fdf14950b2cabef9,LINK-SEO-079,crawl_20260923_234236,LINK,Target page https://www.drivio.in/bikes/honda/cb300r/reviews has 3 high-relevance inbound internal link injection candidates.,Target page receives insufficient internal link equity relative to its commercial or topical relevance.,Injecting 3 contextual internal links with descriptive anchor text improves crawl accessibility and distributes PageRank mass.,"Add contextual internal links to https://www.drivio.in/bikes/honda/cb300r/reviews from source pages ['https://www.drivio.in/bikes/honda', 'https://www.drivio.in/scooters/honda', 'https://www.drivio.in/bikes'] with candidate anchors [None, None, None].",Source article / category body content,[],1,"[""https://www.drivio.in/bikes/honda/cb300r/reviews"", ""https://www.drivio.in/bikes/honda"", ""https://www.drivio.in/scooters/honda"", ""https://www.drivio.in/bikes""]",Medium,High,S,55.6,"{""visibility"": 60.0, ""gap"": 70.0, ""page_importance"": 75.0, ""template_scope"": 30.0, ""technical_severity"": 30.0, ""ctr_headroom"": 40.0, ""link_gap"": 75.0}",inbound_link_exists('https://www.drivio.in/bikes/honda/cb300r/reviews') == True
OPP-LINK-SEO-114,9b1ed44b88e8de85,LINK-SEO-114,crawl_20260923_234236,LINK,Target page https://www.drivio.in/bikes/yamaha/rx100/reviews has 3 high-relevance inbound internal link injection candidates.,Target page receives insufficient internal link equity relative to its commercial or topical relevance.,Injecting 3 contextual internal links with descriptive anchor text improves crawl accessibility and distributes PageRank mass.,"Add contextual internal links to https://www.drivio.in/bikes/yamaha/rx100/reviews from source pages ['https://www.drivio.in/scooters/yamaha', 'https://www.drivio.in/bikes/yamaha', 'https://www.drivio.in/bikes'] with candidate anchors [None, None, None].",Source article / category body content,[],1,"[""https://www.drivio.in/bikes/yamaha/rx100/reviews"", ""https://www.drivio.in/scooters/yamaha"", ""https://www.drivio.in/bikes/yamaha"", ""https://www.drivio.in/bikes""]",Medium,High,S,55.6,"{""visibility"": 60.0, ""gap"": 70.0, ""page_importance"": 75.0, ""template_scope"": 30.0, ""technical_severity"": 30.0, ""ctr_headroom"": 40.0, ""link_gap"": 75.0}",inbound_link_exists('https://www.drivio.in/bikes/yamaha/rx100/reviews') == True
OPP-LINK-SEO-115,4be9d158e7e1fdad,LINK-SEO-115,crawl_20260923_234236,LINK,Target page https://www.drivio.in/bikes/hero/passion-xtec/reviews has 3 high-relevance inbound internal link injection candidates.,Target page receives insufficient internal link equity relative to its commercial or topical relevance.,Injecting 3 contextual internal links with descriptive anchor text improves crawl accessibility and distributes PageRank mass.,"Add contextual internal links to https://www.drivio.in/bikes/hero/passion-xtec/reviews from source pages ['https://www.drivio.in/bikes/hero', 'https://www.drivio.in/scooters/hero', 'https://www.drivio.in/bikes'] with candidate anchors [None, None, None].",Source article / category body content,[],1,"[""https://www.drivio.in/bikes/hero/passion-xtec/reviews"", ""https://www.drivio.in/bikes/hero"", ""https://www.drivio.in/scooters/hero"", ""https://www.drivio.in/bikes""]",Medium,High,S,55.6,"{""visibility"": 60.0, ""gap"": 70.0, ""page_importance"": 75.0, ""template_scope"": 30.0, ""technical_severity"": 30.0, ""ctr_headroom"": 40.0, ""link_gap"": 75.0}",inbound_link_exists('https://www.drivio.in/bikes/hero/passion-xtec/reviews') == True
OPP-LINK-SEO-119,86aec9f76d777395,LINK-SEO-119,crawl_20260923_234236,LINK,Target page https://www.drivio.in/bikes/hero/xtreme-200r has 3 high-relevance inbound internal link injection candidates.,Target page receives insufficient internal link equity relative to its commercial or topical relevance.,Injecting 3 contextual internal links with descriptive anchor text improves crawl accessibility and distributes PageRank mass.,"Add contextual internal links to https://www.drivio.in/bikes/hero/xtreme-200r from source pages ['https://www.drivio.in/bikes/hero', 'https://www.drivio.in/scooters/hero', 'https://www.drivio.in/bikes'] with candidate anchors [None, None, None].",Source article / category body content,[],1,"[""https://www.drivio.in/bikes/hero/xtreme-200r"", ""https://www.drivio.in/bikes/hero"", ""https://www.drivio.in/scooters/hero"", ""https://www.drivio.in/bikes""]",Medium,High,S,55.6,"{""visibility"": 60.0, ""gap"": 70.0, ""page_importance"": 75.0, ""template_scope"": 30.0, ""technical_severity"": 30.0, ""ctr_headroom"": 40.0, ""link_gap"": 75.0}",inbound_link_exists('https://www.drivio.in/bikes/hero/xtreme-200r') == True
OPP-LINK-SEO-120,87fd209bc5300520,LINK-SEO-120,crawl_20260923_234236,LINK,Target page https://www.drivio.in/bikes/honda/cbr650r/reviews has 3 high-relevance inbound internal link injection candidates.,Target page receives insufficient internal link equity relative to its commercial or topical relevance.,Injecting 3 contextual internal links with descriptive anchor text improves crawl accessibility and distributes PageRank mass.,"Add contextual internal links to https://www.drivio.in/bikes/honda/cbr650r/reviews from source pages ['https://www.drivio.in/bikes/honda', 'https://www.drivio.in/scooters/honda', 'https://www.drivio.in/bikes'] with candidate anchors [None, None, None].",Source article / category body content,[],1,"[""https://www.drivio.in/bikes/honda/cbr650r/reviews"", ""https://www.drivio.in/bikes/honda"", ""https://www.drivio.in/scooters/honda"", ""https://www.drivio.in/bikes""]",Medium,High,S,55.6,"{""visibility"": 60.0, ""gap"": 70.0, ""page_importance"": 75.0, ""template_scope"": 30.0, ""technical_severity"": 30.0, ""ctr_headroom"": 40.0, ""link_gap"": 75.0}",inbound_link_exists('https://www.drivio.in/bikes/honda/cbr650r/reviews') == True
OPP-LINK-SEO-121,8c020377089af4fd,LINK-SEO-121,crawl_20260923_234236,LINK,Target page https://www.drivio.in/bikes/honda/cb650r/reviews has 3 high-relevance inbound internal link injection candidates.,Target page receives insufficient internal link equity relative to its commercial or topical relevance.,Injecting 3 contextual internal links with descriptive anchor text improves crawl accessibility and distributes PageRank mass.,"Add contextual internal links to https://www.drivio.in/bikes/honda/cb650r/reviews from source pages ['https://www.drivio.in/bikes/honda', 'https://www.drivio.in/scooters/honda', 'https://www.drivio.in/bikes'] with candidate anchors [None, None, None].",Source article / category body content,[],1,"[""https://www.drivio.in/bikes/honda/cb650r/reviews"", ""https://www.drivio.in/bikes/honda"", ""https://www.drivio.in/scooters/honda"", ""https://www.drivio.in/bikes""]",Medium,High,S,55.6,"{""visibility"": 60.0, ""gap"": 70.0, ""page_importance"": 75.0, ""template_scope"": 30.0, ""technical_severity"": 30.0, ""ctr_headroom"": 40.0, ""link_gap"": 75.0}",inbound_link_exists('https://www.drivio.in/bikes/honda/cb650r/reviews') == True
OPP-LINK-SEO-122,f93e32daeb31ff18,LINK-SEO-122,crawl_20260923_234236,LINK,Target page https://www.drivio.in/bikes/honda/cbr1000rr-r has 3 high-relevance inbound internal link injection candidates.,Target page receives insufficient internal link equity relative to its commercial or topical relevance.,Injecting 3 contextual internal links with descriptive anchor text improves crawl accessibility and distributes PageRank mass.,"Add contextual internal links to https://www.drivio.in/bikes/honda/cbr1000rr-r from source pages ['https://www.drivio.in/bikes/honda', 'https://www.drivio.in/scooters/honda', 'https://www.drivio.in/bikes'] with candidate anchors [None, None, None].",Source article / category body content,[],1,"[""https://www.drivio.in/bikes/honda/cbr1000rr-r"", ""https://www.drivio.in/bikes/honda"", ""https://www.drivio.in/scooters/honda"", ""https://www.drivio.in/bikes""]",Medium,High,S,55.6,"{""visibility"": 60.0, ""gap"": 70.0, ""page_importance"": 75.0, ""template_scope"": 30.0, ""technical_severity"": 30.0, ""ctr_headroom"": 40.0, ""link_gap"": 75.0}",inbound_link_exists('https://www.drivio.in/bikes/honda/cbr1000rr-r') == True
OPP-LINK-SEO-127,9f0d964594879a3d,LINK-SEO-127,crawl_20260923_234236,LINK,Target page https://www.drivio.in/bikes/honda/xl750-transalp has 3 high-relevance inbound internal link injection candidates.,Target page receives insufficient internal link equity relative to its commercial or topical relevance.,Injecting 3 contextual internal links with descriptive anchor text improves crawl accessibility and distributes PageRank mass.,"Add contextual internal links to https://www.drivio.in/bikes/honda/xl750-transalp from source pages ['https://www.drivio.in/bikes/honda', 'https://www.drivio.in/scooters/honda', 'https://www.drivio.in/bikes'] with candidate anchors [None, None, None].",Source article / category body content,[],1,"[""https://www.drivio.in/bikes/honda/xl750-transalp"", ""https://www.drivio.in/bikes/honda"", ""https://www.drivio.in/scooters/honda"", ""https://www.drivio.in/bikes""]",Medium,High,S,55.6,"{""visibility"": 60.0, ""gap"": 70.0, ""page_importance"": 75.0, ""template_scope"": 30.0, ""technical_severity"": 30.0, ""ctr_headroom"": 40.0, ""link_gap"": 75.0}",inbound_link_exists('https://www.drivio.in/bikes/honda/xl750-transalp') == True
OPP-LINK-SEO-177,19b8c4585eae29dd,LINK-SEO-177,crawl_20260923_234236,LINK,Target page https://www.drivio.in/bikes/hero/xoom-160 has 3 high-relevance inbound internal link injection candidates.,Target page receives insufficient internal link equity relative to its commercial or topical relevance.,Injecting 3 contextual internal links with descriptive anchor text improves crawl accessibility and distributes PageRank mass.,"Add contextual internal links to https://www.drivio.in/bikes/hero/xoom-160 from source pages ['https://www.drivio.in/bikes/hero', 'https://www.drivio.in/scooters/hero', 'https://www.drivio.in/bikes'] with candidate anchors [None, None, None].",Source article / category body content,[],1,"[""https://www.drivio.in/bikes/hero/xoom-160"", ""https://www.drivio.in/bikes/hero"", ""https://www.drivio.in/scooters/hero"", ""https://www.drivio.in/bikes""]",Medium,High,S,55.6,"{""visibility"": 60.0, ""gap"": 70.0, ""page_importance"": 75.0, ""template_scope"": 30.0, ""technical_severity"": 30.0, ""ctr_headroom"": 40.0, ""link_gap"": 75.0}",inbound_link_exists('https://www.drivio.in/bikes/hero/xoom-160') == True
