work_order_id,fingerprint,display_id,run_id,order_type,priority,scope,title,problem,evidence_json,required_change,acceptance_criteria,verify_spec,file_locations_json
WO-SEOJEV-ENG-001,c83f520c496dc8eb,SEOJEV-ENG-001,crawl_20260923_234236,engineering,P1,site,[SEOJEV-ENG-001] Immediate engineering blocker: resolve sitemap url has noindex across 68 URLs.,"Site-level issue detected: GENERIC affecting site-wide crawl/index configuration.

Diagnosis: Site-wide configuration or architecture issue limiting global accessibility or search discovery.","{""opportunity_id"": ""OPP-SITE-TECH-001"", ""affected_urls_count"": 69, ""sample_urls"": [], ""confidence_tier"": ""High"", ""effort"": ""S""}","Action Required: Immediate engineering blocker: resolve sitemap url has noindex across 68 URLs.

Target Location: Server configuration / robots.txt / sitemap.xml
Scope: Site (69 URLs affected)
Observed Hypothesis: Remediating this site-level configuration ensures search engines can reliably crawl and index core pages without obstruction.","- [ ] Implementation updated in `Server configuration / robots.txt / sitemap.xml`.
- [ ] Verification spec evaluates to true: `check_site_config('GENERIC') == True`.
- [ ] Validated on sample URLs: Site URL.",check_site_config('GENERIC') == True,"[""Server configuration / robots.txt / sitemap.xml""]"
WO-SEOJEV-ENG-002,9bd73e7e8352230d,SEOJEV-ENG-002,crawl_20260923_234236,engineering,P2,page,[SEOJEV-ENG-002] Add contextual internal links to https://www.drivio.in/bikes/yamaha/aerox-155/re...,"Target page https://www.drivio.in/bikes/yamaha/aerox-155/reviews has 3 high-relevance inbound internal link injection candidates.

Diagnosis: Target page receives insufficient internal link equity relative to its commercial or topical relevance.","{""opportunity_id"": ""OPP-LINK-SEO-057"", ""affected_urls_count"": 1, ""sample_urls"": [""https://www.drivio.in/bikes/yamaha/aerox-155/reviews"", ""https://www.drivio.in/scooters/yamaha"", ""https://www.drivio.in/bikes/yamaha"", ""https://www.drivio.in/bikes""], ""confidence_tier"": ""High"", ""effort"": ""S""}","Action Required: Add contextual internal links to https://www.drivio.in/bikes/yamaha/aerox-155/reviews from source pages ['https://www.drivio.in/scooters/yamaha', 'https://www.drivio.in/bikes/yamaha', 'https://www.drivio.in/bikes'] with candidate anchors [None, None, None].

Target Location: Source article / category body content
Scope: Page (1 URLs affected)
Observed Hypothesis: Injecting 3 contextual internal links with descriptive anchor text improves crawl accessibility and distributes PageRank mass.","- [ ] Implementation updated in `Source article / category body content`.
- [ ] Verification spec evaluates to true: `inbound_link_exists('https://www.drivio.in/bikes/yamaha/aerox-155/reviews') == True`.
- [ ] Validated on sample URLs: https://www.drivio.in/bikes/yamaha/aerox-155/reviews, https://www.drivio.in/scooters/yamaha, https://www.drivio.in/bikes/yamaha.",inbound_link_exists('https://www.drivio.in/bikes/yamaha/aerox-155/reviews') == True,"[""Source article / category body content""]"
WO-SEOJEV-ENG-003,49551004483eaf1d,SEOJEV-ENG-003,crawl_20260923_234236,engineering,P2,page,[SEOJEV-ENG-003] Add contextual internal links to https://www.drivio.in/bikes/hero/passion-plus/r...,"Target page https://www.drivio.in/bikes/hero/passion-plus/reviews has 3 high-relevance inbound internal link injection candidates.

Diagnosis: Target page receives insufficient internal link equity relative to its commercial or topical relevance.","{""opportunity_id"": ""OPP-LINK-SEO-064"", ""affected_urls_count"": 1, ""sample_urls"": [""https://www.drivio.in/bikes/hero/passion-plus/reviews"", ""https://www.drivio.in/bikes/hero"", ""https://www.drivio.in/scooters/hero"", ""https://www.drivio.in/bikes""], ""confidence_tier"": ""High"", ""effort"": ""S""}","Action Required: Add contextual internal links to https://www.drivio.in/bikes/hero/passion-plus/reviews from source pages ['https://www.drivio.in/bikes/hero', 'https://www.drivio.in/scooters/hero', 'https://www.drivio.in/bikes'] with candidate anchors [None, None, None].

Target Location: Source article / category body content
Scope: Page (1 URLs affected)
Observed Hypothesis: Injecting 3 contextual internal links with descriptive anchor text improves crawl accessibility and distributes PageRank mass.","- [ ] Implementation updated in `Source article / category body content`.
- [ ] Verification spec evaluates to true: `inbound_link_exists('https://www.drivio.in/bikes/hero/passion-plus/reviews') == True`.
- [ ] Validated on sample URLs: https://www.drivio.in/bikes/hero/passion-plus/reviews, https://www.drivio.in/bikes/hero, https://www.drivio.in/scooters/hero.",inbound_link_exists('https://www.drivio.in/bikes/hero/passion-plus/reviews') == True,"[""Source article / category body content""]"
WO-SEOJEV-ENG-004,fdf14950b2cabef9,SEOJEV-ENG-004,crawl_20260923_234236,engineering,P2,page,[SEOJEV-ENG-004] Add contextual internal links to https://www.drivio.in/bikes/honda/cb300r/review...,"Target page https://www.drivio.in/bikes/honda/cb300r/reviews has 3 high-relevance inbound internal link injection candidates.

Diagnosis: Target page receives insufficient internal link equity relative to its commercial or topical relevance.","{""opportunity_id"": ""OPP-LINK-SEO-079"", ""affected_urls_count"": 1, ""sample_urls"": [""https://www.drivio.in/bikes/honda/cb300r/reviews"", ""https://www.drivio.in/bikes/honda"", ""https://www.drivio.in/scooters/honda"", ""https://www.drivio.in/bikes""], ""confidence_tier"": ""High"", ""effort"": ""S""}","Action Required: Add contextual internal links to https://www.drivio.in/bikes/honda/cb300r/reviews from source pages ['https://www.drivio.in/bikes/honda', 'https://www.drivio.in/scooters/honda', 'https://www.drivio.in/bikes'] with candidate anchors [None, None, None].

Target Location: Source article / category body content
Scope: Page (1 URLs affected)
Observed Hypothesis: Injecting 3 contextual internal links with descriptive anchor text improves crawl accessibility and distributes PageRank mass.","- [ ] Implementation updated in `Source article / category body content`.
- [ ] Verification spec evaluates to true: `inbound_link_exists('https://www.drivio.in/bikes/honda/cb300r/reviews') == True`.
- [ ] Validated on sample URLs: https://www.drivio.in/bikes/honda/cb300r/reviews, https://www.drivio.in/bikes/honda, https://www.drivio.in/scooters/honda.",inbound_link_exists('https://www.drivio.in/bikes/honda/cb300r/reviews') == True,"[""Source article / category body content""]"
WO-SEOJEV-ENG-005,9b1ed44b88e8de85,SEOJEV-ENG-005,crawl_20260923_234236,engineering,P2,page,[SEOJEV-ENG-005] Add contextual internal links to https://www.drivio.in/bikes/yamaha/rx100/review...,"Target page https://www.drivio.in/bikes/yamaha/rx100/reviews has 3 high-relevance inbound internal link injection candidates.

Diagnosis: Target page receives insufficient internal link equity relative to its commercial or topical relevance.","{""opportunity_id"": ""OPP-LINK-SEO-114"", ""affected_urls_count"": 1, ""sample_urls"": [""https://www.drivio.in/bikes/yamaha/rx100/reviews"", ""https://www.drivio.in/scooters/yamaha"", ""https://www.drivio.in/bikes/yamaha"", ""https://www.drivio.in/bikes""], ""confidence_tier"": ""High"", ""effort"": ""S""}","Action Required: Add contextual internal links to https://www.drivio.in/bikes/yamaha/rx100/reviews from source pages ['https://www.drivio.in/scooters/yamaha', 'https://www.drivio.in/bikes/yamaha', 'https://www.drivio.in/bikes'] with candidate anchors [None, None, None].

Target Location: Source article / category body content
Scope: Page (1 URLs affected)
Observed Hypothesis: Injecting 3 contextual internal links with descriptive anchor text improves crawl accessibility and distributes PageRank mass.","- [ ] Implementation updated in `Source article / category body content`.
- [ ] Verification spec evaluates to true: `inbound_link_exists('https://www.drivio.in/bikes/yamaha/rx100/reviews') == True`.
- [ ] Validated on sample URLs: https://www.drivio.in/bikes/yamaha/rx100/reviews, https://www.drivio.in/scooters/yamaha, https://www.drivio.in/bikes/yamaha.",inbound_link_exists('https://www.drivio.in/bikes/yamaha/rx100/reviews') == True,"[""Source article / category body content""]"
WO-SEOJEV-ENG-006,4be9d158e7e1fdad,SEOJEV-ENG-006,crawl_20260923_234236,engineering,P2,page,[SEOJEV-ENG-006] Add contextual internal links to https://www.drivio.in/bikes/hero/passion-xtec/r...,"Target page https://www.drivio.in/bikes/hero/passion-xtec/reviews has 3 high-relevance inbound internal link injection candidates.

Diagnosis: Target page receives insufficient internal link equity relative to its commercial or topical relevance.","{""opportunity_id"": ""OPP-LINK-SEO-115"", ""affected_urls_count"": 1, ""sample_urls"": [""https://www.drivio.in/bikes/hero/passion-xtec/reviews"", ""https://www.drivio.in/bikes/hero"", ""https://www.drivio.in/scooters/hero"", ""https://www.drivio.in/bikes""], ""confidence_tier"": ""High"", ""effort"": ""S""}","Action Required: Add contextual internal links to https://www.drivio.in/bikes/hero/passion-xtec/reviews from source pages ['https://www.drivio.in/bikes/hero', 'https://www.drivio.in/scooters/hero', 'https://www.drivio.in/bikes'] with candidate anchors [None, None, None].

Target Location: Source article / category body content
Scope: Page (1 URLs affected)
Observed Hypothesis: Injecting 3 contextual internal links with descriptive anchor text improves crawl accessibility and distributes PageRank mass.","- [ ] Implementation updated in `Source article / category body content`.
- [ ] Verification spec evaluates to true: `inbound_link_exists('https://www.drivio.in/bikes/hero/passion-xtec/reviews') == True`.
- [ ] Validated on sample URLs: https://www.drivio.in/bikes/hero/passion-xtec/reviews, https://www.drivio.in/bikes/hero, https://www.drivio.in/scooters/hero.",inbound_link_exists('https://www.drivio.in/bikes/hero/passion-xtec/reviews') == True,"[""Source article / category body content""]"
WO-SEOJEV-ENG-007,86aec9f76d777395,SEOJEV-ENG-007,crawl_20260923_234236,engineering,P2,page,[SEOJEV-ENG-007] Add contextual internal links to https://www.drivio.in/bikes/hero/xtreme-200r fr...,"Target page https://www.drivio.in/bikes/hero/xtreme-200r has 3 high-relevance inbound internal link injection candidates.

Diagnosis: Target page receives insufficient internal link equity relative to its commercial or topical relevance.","{""opportunity_id"": ""OPP-LINK-SEO-119"", ""affected_urls_count"": 1, ""sample_urls"": [""https://www.drivio.in/bikes/hero/xtreme-200r"", ""https://www.drivio.in/bikes/hero"", ""https://www.drivio.in/scooters/hero"", ""https://www.drivio.in/bikes""], ""confidence_tier"": ""High"", ""effort"": ""S""}","Action Required: Add contextual internal links to https://www.drivio.in/bikes/hero/xtreme-200r from source pages ['https://www.drivio.in/bikes/hero', 'https://www.drivio.in/scooters/hero', 'https://www.drivio.in/bikes'] with candidate anchors [None, None, None].

Target Location: Source article / category body content
Scope: Page (1 URLs affected)
Observed Hypothesis: Injecting 3 contextual internal links with descriptive anchor text improves crawl accessibility and distributes PageRank mass.","- [ ] Implementation updated in `Source article / category body content`.
- [ ] Verification spec evaluates to true: `inbound_link_exists('https://www.drivio.in/bikes/hero/xtreme-200r') == True`.
- [ ] Validated on sample URLs: https://www.drivio.in/bikes/hero/xtreme-200r, https://www.drivio.in/bikes/hero, https://www.drivio.in/scooters/hero.",inbound_link_exists('https://www.drivio.in/bikes/hero/xtreme-200r') == True,"[""Source article / category body content""]"
WO-SEOJEV-ENG-008,87fd209bc5300520,SEOJEV-ENG-008,crawl_20260923_234236,engineering,P2,page,[SEOJEV-ENG-008] Add contextual internal links to https://www.drivio.in/bikes/honda/cbr650r/revie...,"Target page https://www.drivio.in/bikes/honda/cbr650r/reviews has 3 high-relevance inbound internal link injection candidates.

Diagnosis: Target page receives insufficient internal link equity relative to its commercial or topical relevance.","{""opportunity_id"": ""OPP-LINK-SEO-120"", ""affected_urls_count"": 1, ""sample_urls"": [""https://www.drivio.in/bikes/honda/cbr650r/reviews"", ""https://www.drivio.in/bikes/honda"", ""https://www.drivio.in/scooters/honda"", ""https://www.drivio.in/bikes""], ""confidence_tier"": ""High"", ""effort"": ""S""}","Action Required: Add contextual internal links to https://www.drivio.in/bikes/honda/cbr650r/reviews from source pages ['https://www.drivio.in/bikes/honda', 'https://www.drivio.in/scooters/honda', 'https://www.drivio.in/bikes'] with candidate anchors [None, None, None].

Target Location: Source article / category body content
Scope: Page (1 URLs affected)
Observed Hypothesis: Injecting 3 contextual internal links with descriptive anchor text improves crawl accessibility and distributes PageRank mass.","- [ ] Implementation updated in `Source article / category body content`.
- [ ] Verification spec evaluates to true: `inbound_link_exists('https://www.drivio.in/bikes/honda/cbr650r/reviews') == True`.
- [ ] Validated on sample URLs: https://www.drivio.in/bikes/honda/cbr650r/reviews, https://www.drivio.in/bikes/honda, https://www.drivio.in/scooters/honda.",inbound_link_exists('https://www.drivio.in/bikes/honda/cbr650r/reviews') == True,"[""Source article / category body content""]"
WO-SEOJEV-ENG-009,8c020377089af4fd,SEOJEV-ENG-009,crawl_20260923_234236,engineering,P2,page,[SEOJEV-ENG-009] Add contextual internal links to https://www.drivio.in/bikes/honda/cb650r/review...,"Target page https://www.drivio.in/bikes/honda/cb650r/reviews has 3 high-relevance inbound internal link injection candidates.

Diagnosis: Target page receives insufficient internal link equity relative to its commercial or topical relevance.","{""opportunity_id"": ""OPP-LINK-SEO-121"", ""affected_urls_count"": 1, ""sample_urls"": [""https://www.drivio.in/bikes/honda/cb650r/reviews"", ""https://www.drivio.in/bikes/honda"", ""https://www.drivio.in/scooters/honda"", ""https://www.drivio.in/bikes""], ""confidence_tier"": ""High"", ""effort"": ""S""}","Action Required: Add contextual internal links to https://www.drivio.in/bikes/honda/cb650r/reviews from source pages ['https://www.drivio.in/bikes/honda', 'https://www.drivio.in/scooters/honda', 'https://www.drivio.in/bikes'] with candidate anchors [None, None, None].

Target Location: Source article / category body content
Scope: Page (1 URLs affected)
Observed Hypothesis: Injecting 3 contextual internal links with descriptive anchor text improves crawl accessibility and distributes PageRank mass.","- [ ] Implementation updated in `Source article / category body content`.
- [ ] Verification spec evaluates to true: `inbound_link_exists('https://www.drivio.in/bikes/honda/cb650r/reviews') == True`.
- [ ] Validated on sample URLs: https://www.drivio.in/bikes/honda/cb650r/reviews, https://www.drivio.in/bikes/honda, https://www.drivio.in/scooters/honda.",inbound_link_exists('https://www.drivio.in/bikes/honda/cb650r/reviews') == True,"[""Source article / category body content""]"
WO-SEOJEV-ENG-010,f93e32daeb31ff18,SEOJEV-ENG-010,crawl_20260923_234236,engineering,P2,page,[SEOJEV-ENG-010] Add contextual internal links to https://www.drivio.in/bikes/honda/cbr1000rr-r f...,"Target page https://www.drivio.in/bikes/honda/cbr1000rr-r has 3 high-relevance inbound internal link injection candidates.

Diagnosis: Target page receives insufficient internal link equity relative to its commercial or topical relevance.","{""opportunity_id"": ""OPP-LINK-SEO-122"", ""affected_urls_count"": 1, ""sample_urls"": [""https://www.drivio.in/bikes/honda/cbr1000rr-r"", ""https://www.drivio.in/bikes/honda"", ""https://www.drivio.in/scooters/honda"", ""https://www.drivio.in/bikes""], ""confidence_tier"": ""High"", ""effort"": ""S""}","Action Required: Add contextual internal links to https://www.drivio.in/bikes/honda/cbr1000rr-r from source pages ['https://www.drivio.in/bikes/honda', 'https://www.drivio.in/scooters/honda', 'https://www.drivio.in/bikes'] with candidate anchors [None, None, None].

Target Location: Source article / category body content
Scope: Page (1 URLs affected)
Observed Hypothesis: Injecting 3 contextual internal links with descriptive anchor text improves crawl accessibility and distributes PageRank mass.","- [ ] Implementation updated in `Source article / category body content`.
- [ ] Verification spec evaluates to true: `inbound_link_exists('https://www.drivio.in/bikes/honda/cbr1000rr-r') == True`.
- [ ] Validated on sample URLs: https://www.drivio.in/bikes/honda/cbr1000rr-r, https://www.drivio.in/bikes/honda, https://www.drivio.in/scooters/honda.",inbound_link_exists('https://www.drivio.in/bikes/honda/cbr1000rr-r') == True,"[""Source article / category body content""]"
