url,page_type,template,target_query,current_position,impressions,clicks,ctr,position_bracket,technical_status,content_status,internal_link_status,structured_data_status,performance_status,serp_coverage,aeo_status,geo_status,competitor_gap,primary_gap_type,priority,priority_score,evidence,recommended_actions,internal_link_suggestions,content_sections_to_add,schema_actions,aeo_actions,geo_actions
https://www.drivio.in/22motors/testmodel,model,tpl_model_Nmotors_2seg,,,,,,Ranking data unavailable,Non-Indexable,Critical Content Gaps,Orphan,Basic WebPage,Fast,Identified 5 competitive content and SERP feature opportunities.,Low,Low,Competitor SERPs frequently earn FAQ Rich Snippets; target page lacks FAQ markup.; Leading competitors provide city-wise on-road price breakdowns directly answering commercial search intent.; Top ranking competitors feature dedicated variant selection matrices.; Competitors display Review and AggregateRating snippets in SERP results.; Competitor sites feature embedded comparison widgets for closely competing models.,Technical & Indexability,P0,130.0,"Content Coverage: 5.9% (16 sections missing) | Inbound Internal Links: 0 (Depth -1) | AEO Readiness: Low, GEO Readiness: Low","['Add dedicated Price section', 'Add dedicated On Road Price section', 'Add dedicated Variants section', 'Add dedicated Specifications section', 'Implement Schema.org Product structured data with Offer and Brand entities']",[],"['Add dedicated Price section', 'Add dedicated On Road Price section', 'Add dedicated Variants section', 'Add dedicated Specifications section']",['Implement Schema.org Product structured data with Offer and Brand entities'],"['Add structured Q&A section answering top 5 customer questions (price, mileage, variants, EMI).', 'Present technical specifications in a structured HTML table with clean header rows.']","['Ensure explicit Brand + Model naming throughout H1, Title, and main copy.', 'Implement Schema.org Product markup with Offer, Brand, and Model properties.', 'Add structured specification highlights with standardized units (kmpl, cc, bhp, Nm).', 'Provide clear localized on-road pricing estimates and financing calculators.', ""Add a 'Direct Competitors & Alternatives' comparison section.""]"
https://www.drivio.in/22motors/testmodel1,model,tpl_model_Nmotors_2seg,,,,,,Ranking data unavailable,Non-Indexable,Critical Content Gaps,Orphan,Basic WebPage,Fast,Identified 5 competitive content and SERP feature opportunities.,Low,Low,Competitor SERPs frequently earn FAQ Rich Snippets; target page lacks FAQ markup.; Leading competitors provide city-wise on-road price breakdowns directly answering commercial search intent.; Top ranking competitors feature dedicated variant selection matrices.; Competitors display Review and AggregateRating snippets in SERP results.; Competitor sites feature embedded comparison widgets for closely competing models.,Technical & Indexability,P0,130.0,"Content Coverage: 5.9% (16 sections missing) | Inbound Internal Links: 0 (Depth -1) | AEO Readiness: Low, GEO Readiness: Low","['Add dedicated Price section', 'Add dedicated On Road Price section', 'Add dedicated Variants section', 'Add dedicated Specifications section', 'Implement Schema.org Product structured data with Offer and Brand entities']",[],"['Add dedicated Price section', 'Add dedicated On Road Price section', 'Add dedicated Variants section', 'Add dedicated Specifications section']",['Implement Schema.org Product structured data with Offer and Brand entities'],"['Add structured Q&A section answering top 5 customer questions (price, mileage, variants, EMI).', 'Present technical specifications in a structured HTML table with clean header rows.']","['Ensure explicit Brand + Model naming throughout H1, Title, and main copy.', 'Implement Schema.org Product markup with Offer, Brand, and Model properties.', 'Add structured specification highlights with standardized units (kmpl, cc, bhp, Nm).', 'Provide clear localized on-road pricing estimates and financing calculators.', ""Add a 'Direct Competitors & Alternatives' comparison section.""]"
https://www.drivio.in/22motors-scooters,category,tpl_category_Nmotors-scooters_1seg,,,,,,Ranking data unavailable,Non-Indexable,Adequate,Weakly Linked,Basic WebPage,Fast,Standard,Low,Low,None Detected,Technical & Indexability,P1,85.0,"Inbound Internal Links: 3 (Depth -1) | AEO Readiness: Low, GEO Readiness: Low",[],[],[],[],"['Add structured Q&A section answering top 5 customer questions (price, mileage, variants, EMI).', 'Present technical specifications in a structured HTML table with clean header rows.']","['Ensure explicit Brand + Model naming throughout H1, Title, and main copy.', 'Implement Schema.org Product markup with Offer, Brand, and Model properties.', 'Add structured specification highlights with standardized units (kmpl, cc, bhp, Nm).', 'Provide clear localized on-road pricing estimates and financing calculators.', ""Add a 'Direct Competitors & Alternatives' comparison section.""]"
https://www.drivio.in/avan-motors-scooters,category,tpl_category_avan-motors-scooters_1seg,,,,,,Ranking data unavailable,Non-Indexable,Adequate,Orphan,Basic WebPage,Fast,Standard,Low,Low,None Detected,Technical & Indexability,P1,85.0,"Inbound Internal Links: 0 (Depth -1) | AEO Readiness: Low, GEO Readiness: Low",[],[],[],[],"['Add structured Q&A section answering top 5 customer questions (price, mileage, variants, EMI).', 'Present technical specifications in a structured HTML table with clean header rows.', 'Include concise definition of variant differences and pricing tiers.']","['Ensure explicit Brand + Model naming throughout H1, Title, and main copy.', 'Implement Schema.org Product markup with Offer, Brand, and Model properties.', 'Add structured specification highlights with standardized units (kmpl, cc, bhp, Nm).', 'Provide clear localized on-road pricing estimates and financing calculators.', ""Add a 'Direct Competitors & Alternatives' comparison section.""]"
https://www.drivio.in/avera-scooters-scooters,category,tpl_category_avera-scooters-scooters_1seg,,,,,,Ranking data unavailable,Non-Indexable,Adequate,Orphan,Basic WebPage,Fast,Standard,Low,Low,None Detected,Technical & Indexability,P1,85.0,"Inbound Internal Links: 0 (Depth -1) | AEO Readiness: Low, GEO Readiness: Low",[],[],[],[],"['Add structured Q&A section answering top 5 customer questions (price, mileage, variants, EMI).', 'Present technical specifications in a structured HTML table with clean header rows.', 'Include concise definition of variant differences and pricing tiers.']","['Ensure explicit Brand + Model naming throughout H1, Title, and main copy.', 'Implement Schema.org Product markup with Offer, Brand, and Model properties.', 'Add structured specification highlights with standardized units (kmpl, cc, bhp, Nm).', 'Provide clear localized on-road pricing estimates and financing calculators.', ""Add a 'Direct Competitors & Alternatives' comparison section.""]"
https://www.drivio.in/bajaj-urbanite-scooters,category,tpl_category_bajaj-urbanite-scooters_1seg,,,,,,Ranking data unavailable,Non-Indexable,Adequate,Orphan,Basic WebPage,Fast,Standard,Low,Low,None Detected,Technical & Indexability,P1,85.0,"Inbound Internal Links: 0 (Depth -1) | AEO Readiness: Low, GEO Readiness: Low",[],[],[],[],"['Add structured Q&A section answering top 5 customer questions (price, mileage, variants, EMI).', 'Present technical specifications in a structured HTML table with clean header rows.', 'Include concise definition of variant differences and pricing tiers.']","['Ensure explicit Brand + Model naming throughout H1, Title, and main copy.', 'Implement Schema.org Product markup with Offer, Brand, and Model properties.', 'Add structured specification highlights with standardized units (kmpl, cc, bhp, Nm).', 'Provide clear localized on-road pricing estimates and financing calculators.', ""Add a 'Direct Competitors & Alternatives' comparison section.""]"
https://www.drivio.in/battre-electric-scooters-scooters,category,tpl_category_battre-electric-scooters-scooters_1seg,,,,,,Ranking data unavailable,Non-Indexable,Adequate,Orphan,Basic WebPage,Fast,Standard,Low,Low,None Detected,Technical & Indexability,P1,85.0,"Inbound Internal Links: 0 (Depth -1) | AEO Readiness: Low, GEO Readiness: Low",[],[],[],[],"['Add structured Q&A section answering top 5 customer questions (price, mileage, variants, EMI).', 'Present technical specifications in a structured HTML table with clean header rows.', 'Include concise definition of variant differences and pricing tiers.']","['Ensure explicit Brand + Model naming throughout H1, Title, and main copy.', 'Implement Schema.org Product markup with Offer, Brand, and Model properties.', 'Add structured specification highlights with standardized units (kmpl, cc, bhp, Nm).', 'Provide clear localized on-road pricing estimates and financing calculators.', ""Add a 'Direct Competitors & Alternatives' comparison section.""]"
https://www.drivio.in/big-dog-motorcycles-scooters,category,tpl_category_big-dog-motorcycles-scooters_1seg,,,,,,Ranking data unavailable,Non-Indexable,Adequate,Orphan,Basic WebPage,Fast,Standard,Low,Low,None Detected,Technical & Indexability,P1,85.0,"Inbound Internal Links: 0 (Depth -1) | AEO Readiness: Low, GEO Readiness: Low",[],[],[],[],"['Add structured Q&A section answering top 5 customer questions (price, mileage, variants, EMI).', 'Present technical specifications in a structured HTML table with clean header rows.']","['Ensure explicit Brand + Model naming throughout H1, Title, and main copy.', 'Implement Schema.org Product markup with Offer, Brand, and Model properties.', 'Add structured specification highlights with standardized units (kmpl, cc, bhp, Nm).', 'Provide clear localized on-road pricing estimates and financing calculators.', ""Add a 'Direct Competitors & Alternatives' comparison section.""]"
https://www.drivio.in/bird-scooters,category,tpl_category_bird-scooters_1seg,,,,,,Ranking data unavailable,Non-Indexable,Adequate,Orphan,Basic WebPage,Fast,Standard,Low,Low,None Detected,Technical & Indexability,P1,85.0,"Inbound Internal Links: 0 (Depth -1) | AEO Readiness: Low, GEO Readiness: Low",[],[],[],[],"['Add structured Q&A section answering top 5 customer questions (price, mileage, variants, EMI).', 'Present technical specifications in a structured HTML table with clean header rows.', 'Include concise definition of variant differences and pricing tiers.']","['Ensure explicit Brand + Model naming throughout H1, Title, and main copy.', 'Implement Schema.org Product markup with Offer, Brand, and Model properties.', 'Add structured specification highlights with standardized units (kmpl, cc, bhp, Nm).', 'Provide clear localized on-road pricing estimates and financing calculators.', ""Add a 'Direct Competitors & Alternatives' comparison section.""]"
https://www.drivio.in/22motors/jawatest1,listing,tpl_listing_Nmotors_2seg,,,,,,Ranking data unavailable,Non-Indexable,Adequate,Orphan,Basic WebPage,Fast,Standard,Low,Low,None Detected,Technical & Indexability,P1,85.0,"Inbound Internal Links: 0 (Depth -1) | AEO Readiness: Low, GEO Readiness: Low",[],[],[],[],"['Add structured Q&A section answering top 5 customer questions (price, mileage, variants, EMI).', 'Present technical specifications in a structured HTML table with clean header rows.']","['Ensure explicit Brand + Model naming throughout H1, Title, and main copy.', 'Implement Schema.org Product markup with Offer, Brand, and Model properties.', 'Add structured specification highlights with standardized units (kmpl, cc, bhp, Nm).', 'Provide clear localized on-road pricing estimates and financing calculators.', ""Add a 'Direct Competitors & Alternatives' comparison section.""]"
https://www.drivio.in/bgauss/bgauss-c12i,listing,tpl_listing_bgauss_2seg,,,,,,Ranking data unavailable,Non-Indexable,Adequate,Orphan,Basic WebPage,Fast,Standard,Low,Low,None Detected,Technical & Indexability,P1,85.0,"Inbound Internal Links: 0 (Depth -1) | AEO Readiness: Low, GEO Readiness: Low",[],[],[],[],"['Add structured Q&A section answering top 5 customer questions (price, mileage, variants, EMI).', 'Present technical specifications in a structured HTML table with clean header rows.']","['Ensure explicit Brand + Model naming throughout H1, Title, and main copy.', 'Implement Schema.org Product markup with Offer, Brand, and Model properties.', 'Add structured specification highlights with standardized units (kmpl, cc, bhp, Nm).', 'Provide clear localized on-road pricing estimates and financing calculators.', ""Add a 'Direct Competitors & Alternatives' comparison section.""]"
https://www.drivio.in/aftek-motors-scooters,category,tpl_category_aftek-motors-scooters_1seg,,,,,,Ranking data unavailable,Healthy,Adequate,Orphan,Basic WebPage,Slow,Standard,Low,Low,None Detected,Content & Internal Linking,P2,50.0,"Inbound Internal Links: 0 (Depth -1) | AEO Readiness: Low, GEO Readiness: Low",[],[],[],[],"['Add structured Q&A section answering top 5 customer questions (price, mileage, variants, EMI).', 'Present technical specifications in a structured HTML table with clean header rows.', 'Include concise definition of variant differences and pricing tiers.']","['Ensure explicit Brand + Model naming throughout H1, Title, and main copy.', 'Implement Schema.org Product markup with Offer, Brand, and Model properties.', 'Add structured specification highlights with standardized units (kmpl, cc, bhp, Nm).', 'Provide clear localized on-road pricing estimates and financing calculators.', ""Add a 'Direct Competitors & Alternatives' comparison section.""]"
