opportunity_id,fingerprint,display_id,run_id,type,observation,diagnosis,hypothesis,action,implementation_location,affected_templates_json,affected_urls_count,sample_urls_json,opportunity_tier,confidence_tier,effort,priority_score,priority_factors_json,verification_spec
OPP-CONTENT-SEO-001,55517a9a3353052d,CONTENT-SEO-001,crawl_20260923_234236,CONTENT,"Page https://www.drivio.in/husqvarna-motorcycles/husqvarna-svartpilen-250 has content gaps: missing sections ['price', 'on_road_price', 'variants'] and missing specifications [].",Thin entity coverage compared to expected vertical baseline reduces topical completeness and satisfaction of search intent.,Adding structured specification tables and required editorial sections provides comprehensive answers for user purchase queries.,"Author missing sections (['price', 'on_road_price', 'variants', 'specifications', 'mileage', 'engine', 'power', 'torque', 'features', 'colors', 'pros', 'cons', 'comparison', 'emi', 'faqs', 'reviews']) and add spec rows for [].",Editorial content on https://www.drivio.in/husqvarna-motorcycles/husqvarna-svartpilen-250,[],1,"[""https://www.drivio.in/husqvarna-motorcycles/husqvarna-svartpilen-250""]",Medium,High,M,52.3,"{""visibility"": 50.0, ""gap"": 85.0, ""page_importance"": 70.0, ""template_scope"": 20.0, ""technical_severity"": 20.0, ""ctr_headroom"": 60.0, ""link_gap"": 40.0}","content_sections_present('https://www.drivio.in/husqvarna-motorcycles/husqvarna-svartpilen-250', ['price', 'on_road_price']) == True"
OPP-CONTENT-SEO-002,6bcfed617d4db2bf,CONTENT-SEO-002,crawl_20260923_234236,CONTENT,"Page https://www.drivio.in/husqvarna-motorcycles/husqvarna-vitpilen-250 has content gaps: missing sections ['price', 'on_road_price', 'variants'] and missing specifications [].",Thin entity coverage compared to expected vertical baseline reduces topical completeness and satisfaction of search intent.,Adding structured specification tables and required editorial sections provides comprehensive answers for user purchase queries.,"Author missing sections (['price', 'on_road_price', 'variants', 'specifications', 'mileage', 'engine', 'power', 'torque', 'features', 'colors', 'pros', 'cons', 'comparison', 'emi', 'faqs', 'reviews']) and add spec rows for [].",Editorial content on https://www.drivio.in/husqvarna-motorcycles/husqvarna-vitpilen-250,[],1,"[""https://www.drivio.in/husqvarna-motorcycles/husqvarna-vitpilen-250""]",Medium,High,M,52.3,"{""visibility"": 50.0, ""gap"": 85.0, ""page_importance"": 70.0, ""template_scope"": 20.0, ""technical_severity"": 20.0, ""ctr_headroom"": 60.0, ""link_gap"": 40.0}","content_sections_present('https://www.drivio.in/husqvarna-motorcycles/husqvarna-vitpilen-250', ['price', 'on_road_price']) == True"
OPP-CONTENT-SEO-003,76ca3fa2eeb88f1e,CONTENT-SEO-003,crawl_20260923_234236,CONTENT,"Page https://www.drivio.in/husqvarna-motorcycles/svartpilen-401 has content gaps: missing sections ['price', 'on_road_price', 'variants'] and missing specifications [].",Thin entity coverage compared to expected vertical baseline reduces topical completeness and satisfaction of search intent.,Adding structured specification tables and required editorial sections provides comprehensive answers for user purchase queries.,"Author missing sections (['price', 'on_road_price', 'variants', 'specifications', 'mileage', 'power', 'torque', 'features', 'colors', 'pros', 'cons', 'comparison', 'emi', 'faqs', 'reviews']) and add spec rows for [].",Editorial content on https://www.drivio.in/husqvarna-motorcycles/svartpilen-401,[],1,"[""https://www.drivio.in/husqvarna-motorcycles/svartpilen-401""]",Medium,High,M,52.3,"{""visibility"": 50.0, ""gap"": 85.0, ""page_importance"": 70.0, ""template_scope"": 20.0, ""technical_severity"": 20.0, ""ctr_headroom"": 60.0, ""link_gap"": 40.0}","content_sections_present('https://www.drivio.in/husqvarna-motorcycles/svartpilen-401', ['price', 'on_road_price']) == True"
OPP-CONTENT-SEO-004,60b23aaefbc2767c,CONTENT-SEO-004,crawl_20260923_234236,CONTENT,"Page https://www.drivio.in/bikes/honda has content gaps: missing sections ['on_road_price', 'variants', 'specifications'] and missing specifications [].",Thin entity coverage compared to expected vertical baseline reduces topical completeness and satisfaction of search intent.,Adding structured specification tables and required editorial sections provides comprehensive answers for user purchase queries.,"Author missing sections (['on_road_price', 'variants', 'specifications', 'mileage', 'engine', 'power', 'torque', 'features', 'colors', 'pros', 'cons', 'faqs', 'reviews']) and add spec rows for [].",Editorial content on https://www.drivio.in/bikes/honda,[],1,"[""https://www.drivio.in/bikes/honda""]",Medium,High,M,52.3,"{""visibility"": 50.0, ""gap"": 85.0, ""page_importance"": 70.0, ""template_scope"": 20.0, ""technical_severity"": 20.0, ""ctr_headroom"": 60.0, ""link_gap"": 40.0}","content_sections_present('https://www.drivio.in/bikes/honda', ['on_road_price', 'variants']) == True"
OPP-CONTENT-SEO-005,a3076cc61d5496d8,CONTENT-SEO-005,crawl_20260923_234236,CONTENT,"Page https://www.drivio.in/bikes/hero has content gaps: missing sections ['on_road_price', 'variants', 'specifications'] and missing specifications [].",Thin entity coverage compared to expected vertical baseline reduces topical completeness and satisfaction of search intent.,Adding structured specification tables and required editorial sections provides comprehensive answers for user purchase queries.,"Author missing sections (['on_road_price', 'variants', 'specifications', 'mileage', 'engine', 'power', 'torque', 'features', 'colors', 'pros', 'cons', 'faqs', 'reviews']) and add spec rows for [].",Editorial content on https://www.drivio.in/bikes/hero,[],1,"[""https://www.drivio.in/bikes/hero""]",Medium,High,M,52.3,"{""visibility"": 50.0, ""gap"": 85.0, ""page_importance"": 70.0, ""template_scope"": 20.0, ""technical_severity"": 20.0, ""ctr_headroom"": 60.0, ""link_gap"": 40.0}","content_sections_present('https://www.drivio.in/bikes/hero', ['on_road_price', 'variants']) == True"
OPP-CONTENT-SEO-006,ce82a5fe6d21e292,CONTENT-SEO-006,crawl_20260923_234236,CONTENT,"Page https://www.drivio.in/bikes/royal-enfield has content gaps: missing sections ['on_road_price', 'variants', 'specifications'] and missing specifications [].",Thin entity coverage compared to expected vertical baseline reduces topical completeness and satisfaction of search intent.,Adding structured specification tables and required editorial sections provides comprehensive answers for user purchase queries.,"Author missing sections (['on_road_price', 'variants', 'specifications', 'mileage', 'engine', 'power', 'torque', 'features', 'colors', 'pros', 'cons', 'faqs', 'reviews']) and add spec rows for [].",Editorial content on https://www.drivio.in/bikes/royal-enfield,[],1,"[""https://www.drivio.in/bikes/royal-enfield""]",Medium,High,M,52.3,"{""visibility"": 50.0, ""gap"": 85.0, ""page_importance"": 70.0, ""template_scope"": 20.0, ""technical_severity"": 20.0, ""ctr_headroom"": 60.0, ""link_gap"": 40.0}","content_sections_present('https://www.drivio.in/bikes/royal-enfield', ['on_road_price', 'variants']) == True"
OPP-CONTENT-SEO-007,ce3aac186fac3014,CONTENT-SEO-007,crawl_20260923_234236,CONTENT,"Page https://www.drivio.in/bikes/bajaj has content gaps: missing sections ['on_road_price', 'variants', 'specifications'] and missing specifications [].",Thin entity coverage compared to expected vertical baseline reduces topical completeness and satisfaction of search intent.,Adding structured specification tables and required editorial sections provides comprehensive answers for user purchase queries.,"Author missing sections (['on_road_price', 'variants', 'specifications', 'mileage', 'engine', 'power', 'torque', 'features', 'colors', 'pros', 'cons', 'faqs', 'reviews']) and add spec rows for [].",Editorial content on https://www.drivio.in/bikes/bajaj,[],1,"[""https://www.drivio.in/bikes/bajaj""]",Medium,High,M,52.3,"{""visibility"": 50.0, ""gap"": 85.0, ""page_importance"": 70.0, ""template_scope"": 20.0, ""technical_severity"": 20.0, ""ctr_headroom"": 60.0, ""link_gap"": 40.0}","content_sections_present('https://www.drivio.in/bikes/bajaj', ['on_road_price', 'variants']) == True"
OPP-CONTENT-SEO-008,1deb3e9d93a0a841,CONTENT-SEO-008,crawl_20260923_234236,CONTENT,"Page https://www.drivio.in/scooters/hero has content gaps: missing sections ['on_road_price', 'variants', 'specifications'] and missing specifications [].",Thin entity coverage compared to expected vertical baseline reduces topical completeness and satisfaction of search intent.,Adding structured specification tables and required editorial sections provides comprehensive answers for user purchase queries.,"Author missing sections (['on_road_price', 'variants', 'specifications', 'mileage', 'engine', 'power', 'torque', 'features', 'colors', 'pros', 'cons', 'faqs', 'reviews']) and add spec rows for [].",Editorial content on https://www.drivio.in/scooters/hero,[],1,"[""https://www.drivio.in/scooters/hero""]",Medium,High,M,52.3,"{""visibility"": 50.0, ""gap"": 85.0, ""page_importance"": 70.0, ""template_scope"": 20.0, ""technical_severity"": 20.0, ""ctr_headroom"": 60.0, ""link_gap"": 40.0}","content_sections_present('https://www.drivio.in/scooters/hero', ['on_road_price', 'variants']) == True"
OPP-CONTENT-SEO-009,d8e3c2b96e274462,CONTENT-SEO-009,crawl_20260923_234236,CONTENT,"Page https://www.drivio.in/scooters/suzuki has content gaps: missing sections ['on_road_price', 'variants', 'specifications'] and missing specifications [].",Thin entity coverage compared to expected vertical baseline reduces topical completeness and satisfaction of search intent.,Adding structured specification tables and required editorial sections provides comprehensive answers for user purchase queries.,"Author missing sections (['on_road_price', 'variants', 'specifications', 'mileage', 'engine', 'power', 'torque', 'features', 'colors', 'pros', 'cons', 'faqs', 'reviews']) and add spec rows for [].",Editorial content on https://www.drivio.in/scooters/suzuki,[],1,"[""https://www.drivio.in/scooters/suzuki""]",Medium,High,M,52.3,"{""visibility"": 50.0, ""gap"": 85.0, ""page_importance"": 70.0, ""template_scope"": 20.0, ""technical_severity"": 20.0, ""ctr_headroom"": 60.0, ""link_gap"": 40.0}","content_sections_present('https://www.drivio.in/scooters/suzuki', ['on_road_price', 'variants']) == True"
OPP-CONTENT-SEO-010,a1973fa9cf16b9c6,CONTENT-SEO-010,crawl_20260923_234236,CONTENT,"Page https://www.drivio.in/scooters/yamaha has content gaps: missing sections ['on_road_price', 'variants', 'specifications'] and missing specifications [].",Thin entity coverage compared to expected vertical baseline reduces topical completeness and satisfaction of search intent.,Adding structured specification tables and required editorial sections provides comprehensive answers for user purchase queries.,"Author missing sections (['on_road_price', 'variants', 'specifications', 'mileage', 'engine', 'power', 'torque', 'features', 'colors', 'pros', 'cons', 'faqs', 'reviews']) and add spec rows for [].",Editorial content on https://www.drivio.in/scooters/yamaha,[],1,"[""https://www.drivio.in/scooters/yamaha""]",Medium,High,M,52.3,"{""visibility"": 50.0, ""gap"": 85.0, ""page_importance"": 70.0, ""template_scope"": 20.0, ""technical_severity"": 20.0, ""ctr_headroom"": 60.0, ""link_gap"": 40.0}","content_sections_present('https://www.drivio.in/scooters/yamaha', ['on_road_price', 'variants']) == True"
