id,crawl_id,cluster_id,issue,category,priority,severity,affected_urls_count,affected_templates_count,primary_affected_template,scope,evidence_summary,recommended_action,engineering_fix_location,sample_urls
1,crawl_20260924_001246,cluster_sitemap_url_has_noindex,sitemap_url_has_noindex,indexability,P0,critical,11,10,tpl_model_Nmotors_2seg,page_opportunity,"Observed on 11 URLs across 10 templates. Primary concentration in 'tpl_model_Nmotors_2seg' (2 pages affected, 18.2% of total occurrences).",Immediate engineering blocker: resolve sitemap url has noindex across 11 URLs.,Individual page content / route handlers,"[""https://www.drivio.in/22motors-scooters"", ""https://www.drivio.in/avan-motors-scooters"", ""https://www.drivio.in/avera-scooters-scooters"", ""https://www.drivio.in/bajaj-urbanite-scooters"", ""https://www.drivio.in/battre-electric-scooters-scooters"", ""https://www.drivio.in/big-dog-motorcycles-scooters"", ""https://www.drivio.in/bird-scooters"", ""https://www.drivio.in/22motors/jawatest1""]"
2,crawl_20260924_001246,cluster_missing_title,missing_title,metadata,P0,critical,2,2,tpl_category_battre-electric-scooters-scooters_1seg,template,"Observed on 2 URLs across 2 templates. Primary concentration in 'tpl_category_battre-electric-scooters-scooters_1seg' (1 pages affected, 50.0% of total occurrences).",Immediate engineering blocker: resolve missing title across 2 URLs.,Template component: 'tpl_category_battre-electric-scooters-scooters_1seg',"[""https://www.drivio.in/battre-electric-scooters-scooters"", ""https://www.drivio.in/bird-scooters""]"
3,crawl_20260924_001246,cluster_orphan_page,orphan_page,internal_linking,P1,medium,89,24,tpl_listing_bajaj_2seg,site_wide,"Observed on 89 URLs across 24 templates. Primary concentration in 'tpl_listing_bajaj_2seg' (24 pages affected, 27.0% of total occurrences).",High-impact fix: update tpl_listing_bajaj_2seg layout to resolve orphan page across 89 pages.,Global layout / site-wide metadata service,"[""https://www.drivio.in/adventure"", ""https://www.drivio.in/aftek-motors-scooters"", ""https://www.drivio.in/avan-motors-scooters"", ""https://www.drivio.in/avera-scooters-scooters"", ""https://www.drivio.in/bajaj-urbanite-scooters"", ""https://www.drivio.in/battre-electric-scooters-scooters"", ""https://www.drivio.in/big-dog-motorcycles-scooters"", ""https://www.drivio.in/bird-scooters""]"
4,crawl_20260924_001246,cluster_missing_h1,missing_h1,headings,P1,high,2,2,tpl_category_application_1seg,template,"Observed on 2 URLs across 2 templates. Primary concentration in 'tpl_category_application_1seg' (1 pages affected, 50.0% of total occurrences).",High-impact fix: update tpl_category_application_1seg layout to resolve missing h1 across 2 pages.,Template component: 'tpl_category_application_1seg',"[""https://www.drivio.in/application"", ""https://www.drivio.in/""]"
5,crawl_20260924_001246,cluster_canonical_mismatch,canonical_mismatch,canonical,P1,low,1,1,tpl_listing_battre-electric-mobility_2seg,template,"Observed on 1 URLs across 1 templates. Primary concentration in 'tpl_listing_battre-electric-mobility_2seg' (1 pages affected, 100.0% of total occurrences).",High-impact fix: update tpl_listing_battre-electric-mobility_2seg layout to resolve canonical mismatch across 1 pages.,Template component: 'tpl_listing_battre-electric-mobility_2seg',"[""https://www.drivio.in/battre-electric-mobility/battre-electric-gps:ie""]"
6,crawl_20260924_001246,cluster_empty_h1,empty_h1,headings,P2,high,4,3,tpl_model_Nmotors_2seg,template,"Observed on 4 URLs across 3 templates. Primary concentration in 'tpl_model_Nmotors_2seg' (2 pages affected, 50.0% of total occurrences).",Important architectural improvement: revise Template component: 'tpl_model_Nmotors_2seg' to supply unique structured content.,Template component: 'tpl_model_Nmotors_2seg',"[""https://www.drivio.in/22motors/jawatest1"", ""https://www.drivio.in/bgauss/bgauss-c12i"", ""https://www.drivio.in/22motors/testmodel"", ""https://www.drivio.in/22motors/testmodel1""]"
7,crawl_20260924_001246,cluster_duplicate_title_tag,duplicate_title_tag,duplicates,P2,medium,4,3,tpl_model_Nmotors_2seg,template,"Observed on 4 URLs across 3 templates. Primary concentration in 'tpl_model_Nmotors_2seg' (2 pages affected, 50.0% of total occurrences).",Important architectural improvement: revise Template component: 'tpl_model_Nmotors_2seg' to supply unique structured content.,Template component: 'tpl_model_Nmotors_2seg',"[""https://www.drivio.in/22motors/jawatest1"", ""https://www.drivio.in/bgauss/bgauss-c12i"", ""https://www.drivio.in/22motors/testmodel"", ""https://www.drivio.in/22motors/testmodel1""]"
8,crawl_20260924_001246,cluster_thin_content,thin_content,content,P2,medium,2,2,tpl_category_application_1seg,template,"Observed on 2 URLs across 2 templates. Primary concentration in 'tpl_category_application_1seg' (1 pages affected, 50.0% of total occurrences).",Important architectural improvement: revise Template component: 'tpl_category_application_1seg' to supply unique structured content.,Template component: 'tpl_category_application_1seg',"[""https://www.drivio.in/application"", ""https://www.drivio.in/banking-partners""]"
9,crawl_20260924_001246,cluster_missing_meta_description,missing_meta_description,metadata,P2,medium,2,2,tpl_category_battre-electric-scooters-scooters_1seg,template,"Observed on 2 URLs across 2 templates. Primary concentration in 'tpl_category_battre-electric-scooters-scooters_1seg' (1 pages affected, 50.0% of total occurrences).",Important architectural improvement: revise Template component: 'tpl_category_battre-electric-scooters-scooters_1seg' to supply unique structured content.,Template component: 'tpl_category_battre-electric-scooters-scooters_1seg',"[""https://www.drivio.in/battre-electric-scooters-scooters"", ""https://www.drivio.in/bird-scooters""]"
10,crawl_20260924_001246,cluster_empty_anchor_text,empty_anchor_text,internal_linking,P3,low,109,44,tpl_listing_bajaj_2seg,site_wide,"Observed on 109 URLs across 44 templates. Primary concentration in 'tpl_listing_bajaj_2seg' (24 pages affected, 22.0% of total occurrences).",Routine hygiene cleanup: review empty anchor text on affected pages.,Global layout / site-wide metadata service,"[""https://www.drivio.in/22motors-scooters"", ""https://www.drivio.in/about-us"", ""https://www.drivio.in/adventure"", ""https://www.drivio.in/aeroride-ev"", ""https://www.drivio.in/aftek-motors-scooters"", ""https://www.drivio.in/amo-electric-ev"", ""https://www.drivio.in/ampere-ev"", ""https://www.drivio.in/application""]"
