url,brand,model,action_type,priority,issue_summary,evidence,recommended_fix,implementation_details
https://www.drivio.in/husqvarna-motorcycles/husqvarna-svartpilen-250,Husqvarna,Husqvarna Svartpilen 250,content_section,P1,"Missing core automotive buyer sections: price, on_road_price, variants",Page covers 5.9% of expected automotive commercial sections.,"Add structured sections for: Add dedicated Price section, Add dedicated On Road Price section, Add dedicated Variants section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/husqvarna-motorcycles/husqvarna-svartpilen-250,Husqvarna,Husqvarna Svartpilen 250,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/husqvarna-motorcycles/husqvarna-vitpilen-250,Husqvarna,Husqvarna Vitpilen 250,content_section,P1,"Missing core automotive buyer sections: price, on_road_price, variants",Page covers 5.9% of expected automotive commercial sections.,"Add structured sections for: Add dedicated Price section, Add dedicated On Road Price section, Add dedicated Variants section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/husqvarna-motorcycles/husqvarna-vitpilen-250,Husqvarna,Husqvarna Vitpilen 250,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/husqvarna-motorcycles/svartpilen-401,Husqvarna,Svartpilen 401,content_section,P1,"Missing core automotive buyer sections: price, on_road_price, variants",Page covers 11.8% of expected automotive commercial sections.,"Add structured sections for: Add dedicated Price section, Add dedicated On Road Price section, Add dedicated Variants section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/husqvarna-motorcycles/svartpilen-401,Husqvarna,Svartpilen 401,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/honda,Honda,Honda,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/honda,Honda,Honda,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/hero,Hero,Hero,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/hero,Hero,Hero,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/royal-enfield,,Royal Enfield,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/royal-enfield,,Royal Enfield,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/bajaj,Bajaj,Bajaj,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/bajaj,Bajaj,Bajaj,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/scooters/hero,Hero,Vehicle Model,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/scooters/hero,Hero,Vehicle Model,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/scooters/suzuki,Suzuki,Vehicle Model,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/scooters/suzuki,Suzuki,Vehicle Model,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/scooters/yamaha,Yamaha,Vehicle Model,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/scooters/yamaha,Yamaha,Vehicle Model,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/scooters/honda,Honda,Vehicle Model,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/scooters/honda,Honda,Vehicle Model,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/electric-vehicles/hero,Hero,Vehicle Model,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/electric-vehicles/hero,Hero,Vehicle Model,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/electric-vehicles/ola-electric,Ola,Vehicle Model,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/electric-vehicles/ola-electric,Ola,Vehicle Model,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/electric-vehicles/bajaj,Bajaj,Vehicle Model,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/electric-vehicles/bajaj,Bajaj,Vehicle Model,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/electric-vehicles/ather-energy,Ather,Vehicle Model,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/electric-vehicles/ather-energy,Ather,Vehicle Model,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/cruiser,,Cruiser,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/cruiser,,Cruiser,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/street,,Street,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/street,,Street,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/yamaha,Yamaha,Yamaha,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/yamaha,Yamaha,Yamaha,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
