opportunity_id,fingerprint,display_id,run_id,type,observation,diagnosis,hypothesis,action,implementation_location,affected_templates_json,affected_urls_count,sample_urls_json,opportunity_tier,confidence_tier,effort,priority_score,priority_factors_json,verification_spec
OPP-SITE-TECH-001,c83f520c496dc8eb,SITE-TECH-001,crawl_20260923_234236,SITE-TECH,Site-level issue detected: GENERIC affecting site-wide crawl/index configuration.,Site-wide configuration or architecture issue limiting global accessibility or search discovery.,Remediating this site-level configuration ensures search engines can reliably crawl and index core pages without obstruction.,Immediate engineering blocker: resolve sitemap url has noindex across 68 URLs.,Server configuration / robots.txt / sitemap.xml,[],69,[],High,High,S,74.2,"{""visibility"": 80.0, ""gap"": 80.0, ""page_importance"": 90.0, ""template_scope"": 100.0, ""technical_severity"": 50.0, ""ctr_headroom"": 40.0, ""link_gap"": 30.0}",check_site_config('GENERIC') == True
OPP-TPL-SEO-001,4193b0bad8d7ced9,TPL-SEO-001,crawl_20260923_234236,TPL,"Observed 5 URLs in template 'tpl_model_Nmotors_2seg' with issue 'cluster_sitemap_url_has_noindex': Observed on 68 URLs across 67 templates. Primary concentration in 'tpl_model_Nmotors_2seg' (2 pages affected, 2.9% of total occurrences)..",Template-level omission or formatting defect in component rendering tpl_model_Nmotors_2seg.,Updating the template component for tpl_model_Nmotors_2seg systematically remedies all 5 affected URLs in a single engineering change.,Immediate engineering blocker: resolve sitemap url has noindex across 68 URLs.,templates/tpl_model_Nmotors_2seg.html,"[""tpl_model_Nmotors_2seg""]",5,"[""https://www.drivio.in/22motors-scooters"", ""https://www.drivio.in/avan-motors-scooters"", ""https://www.drivio.in/avera-scooters-scooters"", ""https://www.drivio.in/bajaj-urbanite-scooters"", ""https://www.drivio.in/battre-electric-scooters-scooters""]",Medium,High,M,62.5,"{""visibility"": 70.0, ""gap"": 75.0, ""page_importance"": 65.0, ""template_scope"": 24.0, ""technical_severity"": 95.0, ""ctr_headroom"": 50.0, ""link_gap"": 40.0}",status_code == 200
OPP-TPL-SEO-002,a5890ea27ef40233,TPL-SEO-002,crawl_20260923_234236,TPL,"Observed 5 URLs in template 'tpl_category_battre-electric-scooters-scooters_1seg' with issue 'cluster_missing_title': Observed on 25 URLs across 25 templates. Primary concentration in 'tpl_category_battre-electric-scooters-scooters_1seg' (1 pages affected, 4.0% of total occurrences)..",Template-level omission or formatting defect in component rendering tpl_category_battre-electric-scooters-scooters_1seg.,Updating the template component for tpl_category_battre-electric-scooters-scooters_1seg systematically remedies all 5 affected URLs in a single engineering change.,Immediate engineering blocker: resolve missing title across 25 URLs.,templates/tpl_category_battre-electric-scooters-scooters_1seg.html,"[""tpl_category_battre-electric-scooters-scooters_1seg""]",5,"[""https://www.drivio.in/battre-electric-scooters-scooters"", ""https://www.drivio.in/bird-scooters"", ""https://www.drivio.in/bsa-scooters"", ""https://www.drivio.in/devot-scooters"", ""https://www.drivio.in/dispatch-ev-scooters""]",Medium,High,M,62.5,"{""visibility"": 70.0, ""gap"": 75.0, ""page_importance"": 65.0, ""template_scope"": 24.0, ""technical_severity"": 95.0, ""ctr_headroom"": 50.0, ""link_gap"": 40.0}","has_selector(""title"") and text_length(""title"") >= 10"
OPP-TPL-SEO-003,f9c616b0fdb459ea,TPL-SEO-003,crawl_20260923_234236,TPL,"Observed 5 URLs in template 'tpl_article_news_2seg' with issue 'cluster_orphan_page': Observed on 12,008 URLs across 219 templates. Primary concentration in 'tpl_article_news_2seg' (1,504 pages affected, 12.5% of total occurrences)..",Template-level omission or formatting defect in component rendering tpl_article_news_2seg.,Updating the template component for tpl_article_news_2seg systematically remedies all 5 affected URLs in a single engineering change.,High-impact fix: update tpl_article_news_2seg layout to resolve orphan page across 12008 pages.,templates/tpl_article_news_2seg.html,"[""tpl_article_news_2seg""]",5,"[""https://www.drivio.in/featured-stories/10-best-two-wheeler-apps-for-indians"", ""https://www.drivio.in/featured-stories/10-reasons-why-a-two-wheeler-training-course-will-help-you"", ""https://www.drivio.in/featured-stories/2023-hero-maestro-edge-know-what-hero-motocorps-best-selling-scooter-has-to-offer"", ""https://www.drivio.in/featured-stories/2023-honda-dio-is-it-still-relevant-as-a-modern-moto-scooter"", ""https://www.drivio.in/featured-stories/2023-royal-enfield-bullet-350-whats-new""]",Medium,High,M,60.5,"{""visibility"": 70.0, ""gap"": 75.0, ""page_importance"": 65.0, ""template_scope"": 24.0, ""technical_severity"": 75.0, ""ctr_headroom"": 50.0, ""link_gap"": 40.0}",status_code == 200
OPP-TPL-SEO-005,34a9accfb3b2dfe3,TPL-SEO-005,crawl_20260923_234236,TPL,"Observed 5 URLs in template 'tpl_model_bikes_3seg' with issue 'cluster_weakly_linked_product_page': Observed on 1,302 URLs across 8 templates. Primary concentration in 'tpl_model_bikes_3seg' (371 pages affected, 28.5% of total occurrences)..",Template-level omission or formatting defect in component rendering tpl_model_bikes_3seg.,Updating the template component for tpl_model_bikes_3seg systematically remedies all 5 affected URLs in a single engineering change.,High-impact fix: update tpl_model_bikes_3seg layout to resolve weakly linked product page across 1302 pages.,templates/tpl_model_bikes_3seg.html,"[""tpl_model_bikes_3seg""]",5,"[""https://www.drivio.in/bikes/hero-electric/nyx"", ""https://www.drivio.in/bikes/joy-e-bike/monster"", ""https://www.drivio.in/bikes/earth-energy-ev/evolve-r"", ""https://www.drivio.in/bikes/dao/703"", ""https://www.drivio.in/bikes/ola-electric/ola-roadster""]",Medium,High,M,60.5,"{""visibility"": 70.0, ""gap"": 75.0, ""page_importance"": 65.0, ""template_scope"": 24.0, ""technical_severity"": 75.0, ""ctr_headroom"": 50.0, ""link_gap"": 40.0}",status_code == 200
OPP-TPL-SEO-006,79f274630461a4b7,TPL-SEO-006,crawl_20260923_234236,TPL,"Observed 5 URLs in template 'tpl_brand_electric-vehicles_2seg' with issue 'cluster_missing_h1': Observed on 135 URLs across 10 templates. Primary concentration in 'tpl_brand_electric-vehicles_2seg' (88 pages affected, 65.2% of total occurrences)..",Template-level omission or formatting defect in component rendering tpl_brand_electric-vehicles_2seg.,Updating the template component for tpl_brand_electric-vehicles_2seg systematically remedies all 5 affected URLs in a single engineering change.,High-impact fix: update tpl_brand_electric-vehicles_2seg layout to resolve missing h1 across 135 pages.,templates/tpl_brand_electric-vehicles_2seg.html,"[""tpl_brand_electric-vehicles_2seg""]",5,"[""https://www.drivio.in/bikes/honda"", ""https://www.drivio.in/bikes/hero"", ""https://www.drivio.in/bikes/royal-enfield"", ""https://www.drivio.in/bikes/bajaj"", ""https://www.drivio.in/bikes/yamaha""]",Medium,High,M,60.5,"{""visibility"": 70.0, ""gap"": 75.0, ""page_importance"": 65.0, ""template_scope"": 24.0, ""technical_severity"": 75.0, ""ctr_headroom"": 50.0, ""link_gap"": 40.0}","selector_count(""h1"") == 1"
OPP-TPL-SEO-007,d2cf5871f41b12a7,TPL-SEO-007,crawl_20260923_234236,TPL,"Observed 5 URLs in template 'tpl_article_featured-stories_2seg' with issue 'cluster_http_404_error': Observed on 8 URLs across 5 templates. Primary concentration in 'tpl_article_featured-stories_2seg' (2 pages affected, 25.0% of total occurrences)..",Template-level omission or formatting defect in component rendering tpl_article_featured-stories_2seg.,Updating the template component for tpl_article_featured-stories_2seg systematically remedies all 5 affected URLs in a single engineering change.,High-impact fix: update tpl_article_featured-stories_2seg layout to resolve http 404 error across 8 pages.,templates/tpl_article_featured-stories_2seg.html,"[""tpl_article_featured-stories_2seg""]",5,"[""https://www.drivio.in/featured-stories/Hero Glamour"", ""https://www.drivio.in/featured-stories/Hero Splendor Plus"", ""https://www.drivio.in/featured-stories/drivio.in/jawa/perak"", ""https://www.drivio.in/featured-stories/drivio.in/yamaha/r15-v4"", ""https://www.drivio.in/news/drivio.in/bajaj/dominar-250""]",Medium,High,M,60.5,"{""visibility"": 70.0, ""gap"": 75.0, ""page_importance"": 65.0, ""template_scope"": 24.0, ""technical_severity"": 75.0, ""ctr_headroom"": 50.0, ""link_gap"": 40.0}",status_code == 200
OPP-TPL-SEO-009,2ba02b5423304c87,TPL-SEO-009,crawl_20260923_234236,TPL,"Observed 5 URLs in template 'tpl_listing_hero_2seg' with issue 'cluster_empty_h1': Observed on 31 URLs across 17 templates. Primary concentration in 'tpl_listing_hero_2seg' (6 pages affected, 19.4% of total occurrences)..",Template-level omission or formatting defect in component rendering tpl_listing_hero_2seg.,Updating the template component for tpl_listing_hero_2seg systematically remedies all 5 affected URLs in a single engineering change.,Important architectural improvement: revise Individual page content / route handlers to supply unique structured content.,templates/tpl_listing_hero_2seg.html,"[""tpl_listing_hero_2seg""]",5,"[""https://www.drivio.in/22motors/jawatest1"", ""https://www.drivio.in/ampere/magnus-ex"", ""https://www.drivio.in/aprilia/sxr-160"", ""https://www.drivio.in/aprilia/aprilia-rs-457"", ""https://www.drivio.in/aprilia/sr-160""]",Medium,High,M,60.5,"{""visibility"": 70.0, ""gap"": 75.0, ""page_importance"": 65.0, ""template_scope"": 24.0, ""technical_severity"": 75.0, ""ctr_headroom"": 50.0, ""link_gap"": 40.0}","selector_count(""h1"") == 1"
OPP-TPL-SEO-013,59dfc525ac95d52d,TPL-SEO-013,crawl_20260923_234236,TPL,"Observed 5 URLs in template 'tpl_brand_featured-stories_2seg' with issue 'cluster_exact_duplicate_content': Observed on 17,496 URLs across 43 templates. Primary concentration in 'tpl_brand_featured-stories_2seg' (2,928 pages affected, 16.7% of total occurrences)..",Template-level omission or formatting defect in component rendering tpl_brand_featured-stories_2seg.,Updating the template component for tpl_brand_featured-stories_2seg systematically remedies all 5 affected URLs in a single engineering change.,Routine hygiene cleanup: review exact duplicate content on affected pages.,templates/tpl_brand_featured-stories_2seg.html,"[""tpl_brand_featured-stories_2seg""]",5,"[""https://www.drivio.in/featured-stories/10-best-two-wheeler-apps-for-indians"", ""https://drivio.in/featured-stories/10-best-two-wheeler-apps-for-indians"", ""https://www.drivio.in/featured-stories/10-reasons-why-a-two-wheeler-training-course-will-help-you"", ""https://drivio.in/featured-stories/10-reasons-why-a-two-wheeler-training-course-will-help-you"", ""https://www.drivio.in/featured-stories/2023-hero-maestro-edge-know-what-hero-motocorps-best-selling-scooter-has-to-offer""]",Medium,High,M,60.5,"{""visibility"": 70.0, ""gap"": 75.0, ""page_importance"": 65.0, ""template_scope"": 24.0, ""technical_severity"": 75.0, ""ctr_headroom"": 50.0, ""link_gap"": 40.0}",status_code == 200
OPP-TPL-SEO-019,32068d029c50f511,TPL-SEO-019,crawl_20260923_234236,TPL,"Observed 5 URLs in template 'tpl_article_featured-stories_2seg' with issue 'cluster_template_orphan_page': Observed on 1,469 URLs across 218 templates. Primary concentration in 'tpl_article_featured-stories_2seg' (8 pages affected, 0.5% of total occurrences)..",Template-level omission or formatting defect in component rendering tpl_article_featured-stories_2seg.,Updating the template component for tpl_article_featured-stories_2seg systematically remedies all 5 affected URLs in a single engineering change.,Routine hygiene cleanup: review template orphan page on affected pages.,templates/tpl_article_featured-stories_2seg.html,"[""tpl_article_featured-stories_2seg""]",5,"[""https://www.drivio.in/featured-stories/10-best-two-wheeler-apps-for-indians"", ""https://www.drivio.in/news/2023-hero-xtreme-160r-incoming"", ""https://www.drivio.in/featured-stories/10-best-selling-bikes-in-2023"", ""https://www.drivio.in/news/5-upcoming-bikes-in-may-2023-in-india"", ""https://www.drivio.in/one-electric-motorcycles/kridn""]",Medium,High,M,60.5,"{""visibility"": 70.0, ""gap"": 75.0, ""page_importance"": 65.0, ""template_scope"": 24.0, ""technical_severity"": 75.0, ""ctr_headroom"": 50.0, ""link_gap"": 40.0}",status_code == 200
