work_order_id,fingerprint,display_id,run_id,order_type,priority,scope,title,problem,evidence_json,required_change,acceptance_criteria,verify_spec,file_locations_json
WO-SEOJEV-ENG-001,4193b0bad8d7ced9,SEOJEV-ENG-001,crawl_20260923_234236,engineering,P2,template,[SEOJEV-ENG-001] Immediate engineering blocker: resolve sitemap url has noindex across 68 URLs.,"Observed 5 URLs in template 'tpl_model_Nmotors_2seg' with issue 'cluster_sitemap_url_has_noindex': Observed on 68 URLs across 67 templates. Primary concentration in 'tpl_model_Nmotors_2seg' (2 pages affected, 2.9% of total occurrences)..

Diagnosis: Template-level omission or formatting defect in component rendering tpl_model_Nmotors_2seg.","{""opportunity_id"": ""OPP-TPL-SEO-001"", ""affected_urls_count"": 5, ""sample_urls"": [""https://www.drivio.in/22motors-scooters"", ""https://www.drivio.in/avan-motors-scooters"", ""https://www.drivio.in/avera-scooters-scooters"", ""https://www.drivio.in/bajaj-urbanite-scooters"", ""https://www.drivio.in/battre-electric-scooters-scooters""], ""confidence_tier"": ""High"", ""effort"": ""M""}","Action Required: Immediate engineering blocker: resolve sitemap url has noindex across 68 URLs.

Target Location: templates/tpl_model_Nmotors_2seg.html
Scope: Template (5 URLs affected)
Observed Hypothesis: Updating the template component for tpl_model_Nmotors_2seg systematically remedies all 5 affected URLs in a single engineering change.","- [ ] Implementation updated in `templates/tpl_model_Nmotors_2seg.html`.
- [ ] Verification spec evaluates to true: `status_code == 200`.
- [ ] Validated on sample URLs: https://www.drivio.in/22motors-scooters, https://www.drivio.in/avan-motors-scooters, https://www.drivio.in/avera-scooters-scooters.",status_code == 200,"[""templates/tpl_model_Nmotors_2seg.html""]"
WO-SEOJEV-ENG-002,a5890ea27ef40233,SEOJEV-ENG-002,crawl_20260923_234236,engineering,P2,template,[SEOJEV-ENG-002] Immediate engineering blocker: resolve missing title across 25 URLs.,"Observed 5 URLs in template 'tpl_category_battre-electric-scooters-scooters_1seg' with issue 'cluster_missing_title': Observed on 25 URLs across 25 templates. Primary concentration in 'tpl_category_battre-electric-scooters-scooters_1seg' (1 pages affected, 4.0% of total occurrences)..

Diagnosis: Template-level omission or formatting defect in component rendering tpl_category_battre-electric-scooters-scooters_1seg.","{""opportunity_id"": ""OPP-TPL-SEO-002"", ""affected_urls_count"": 5, ""sample_urls"": [""https://www.drivio.in/battre-electric-scooters-scooters"", ""https://www.drivio.in/bird-scooters"", ""https://www.drivio.in/bsa-scooters"", ""https://www.drivio.in/devot-scooters"", ""https://www.drivio.in/dispatch-ev-scooters""], ""confidence_tier"": ""High"", ""effort"": ""M""}","Action Required: Immediate engineering blocker: resolve missing title across 25 URLs.

Target Location: templates/tpl_category_battre-electric-scooters-scooters_1seg.html
Scope: Template (5 URLs affected)
Observed Hypothesis: Updating the template component for tpl_category_battre-electric-scooters-scooters_1seg systematically remedies all 5 affected URLs in a single engineering change.","- [ ] Implementation updated in `templates/tpl_category_battre-electric-scooters-scooters_1seg.html`.
- [ ] Verification spec evaluates to true: `has_selector(""title"") and text_length(""title"") >= 10`.
- [ ] Validated on sample URLs: https://www.drivio.in/battre-electric-scooters-scooters, https://www.drivio.in/bird-scooters, https://www.drivio.in/bsa-scooters.","has_selector(""title"") and text_length(""title"") >= 10","[""templates/tpl_category_battre-electric-scooters-scooters_1seg.html""]"
WO-SEOJEV-ENG-003,f9c616b0fdb459ea,SEOJEV-ENG-003,crawl_20260923_234236,engineering,P2,template,[SEOJEV-ENG-003] High-impact fix: update tpl_article_news_2seg layout to resolve orphan page acro...,"Observed 5 URLs in template 'tpl_article_news_2seg' with issue 'cluster_orphan_page': Observed on 12,008 URLs across 219 templates. Primary concentration in 'tpl_article_news_2seg' (1,504 pages affected, 12.5% of total occurrences)..

Diagnosis: Template-level omission or formatting defect in component rendering tpl_article_news_2seg.","{""opportunity_id"": ""OPP-TPL-SEO-003"", ""affected_urls_count"": 5, ""sample_urls"": [""https://www.drivio.in/featured-stories/10-best-two-wheeler-apps-for-indians"", ""https://www.drivio.in/featured-stories/10-reasons-why-a-two-wheeler-training-course-will-help-you"", ""https://www.drivio.in/featured-stories/2023-hero-maestro-edge-know-what-hero-motocorps-best-selling-scooter-has-to-offer"", ""https://www.drivio.in/featured-stories/2023-honda-dio-is-it-still-relevant-as-a-modern-moto-scooter"", ""https://www.drivio.in/featured-stories/2023-royal-enfield-bullet-350-whats-new""], ""confidence_tier"": ""High"", ""effort"": ""M""}","Action Required: High-impact fix: update tpl_article_news_2seg layout to resolve orphan page across 12008 pages.

Target Location: templates/tpl_article_news_2seg.html
Scope: Template (5 URLs affected)
Observed Hypothesis: Updating the template component for tpl_article_news_2seg systematically remedies all 5 affected URLs in a single engineering change.","- [ ] Implementation updated in `templates/tpl_article_news_2seg.html`.
- [ ] Verification spec evaluates to true: `status_code == 200`.
- [ ] Validated on sample URLs: https://www.drivio.in/featured-stories/10-best-two-wheeler-apps-for-indians, https://www.drivio.in/featured-stories/10-reasons-why-a-two-wheeler-training-course-will-help-you, https://www.drivio.in/featured-stories/2023-hero-maestro-edge-know-what-hero-motocorps-best-selling-scooter-has-to-offer.",status_code == 200,"[""templates/tpl_article_news_2seg.html""]"
WO-SEOJEV-ENG-004,34a9accfb3b2dfe3,SEOJEV-ENG-004,crawl_20260923_234236,engineering,P2,template,[SEOJEV-ENG-004] High-impact fix: update tpl_model_bikes_3seg layout to resolve weakly linked pro...,"Observed 5 URLs in template 'tpl_model_bikes_3seg' with issue 'cluster_weakly_linked_product_page': Observed on 1,302 URLs across 8 templates. Primary concentration in 'tpl_model_bikes_3seg' (371 pages affected, 28.5% of total occurrences)..

Diagnosis: Template-level omission or formatting defect in component rendering tpl_model_bikes_3seg.","{""opportunity_id"": ""OPP-TPL-SEO-005"", ""affected_urls_count"": 5, ""sample_urls"": [""https://www.drivio.in/bikes/hero-electric/nyx"", ""https://www.drivio.in/bikes/joy-e-bike/monster"", ""https://www.drivio.in/bikes/earth-energy-ev/evolve-r"", ""https://www.drivio.in/bikes/dao/703"", ""https://www.drivio.in/bikes/ola-electric/ola-roadster""], ""confidence_tier"": ""High"", ""effort"": ""M""}","Action Required: High-impact fix: update tpl_model_bikes_3seg layout to resolve weakly linked product page across 1302 pages.

Target Location: templates/tpl_model_bikes_3seg.html
Scope: Template (5 URLs affected)
Observed Hypothesis: Updating the template component for tpl_model_bikes_3seg systematically remedies all 5 affected URLs in a single engineering change.","- [ ] Implementation updated in `templates/tpl_model_bikes_3seg.html`.
- [ ] Verification spec evaluates to true: `status_code == 200`.
- [ ] Validated on sample URLs: https://www.drivio.in/bikes/hero-electric/nyx, https://www.drivio.in/bikes/joy-e-bike/monster, https://www.drivio.in/bikes/earth-energy-ev/evolve-r.",status_code == 200,"[""templates/tpl_model_bikes_3seg.html""]"
WO-SEOJEV-ENG-005,79f274630461a4b7,SEOJEV-ENG-005,crawl_20260923_234236,engineering,P2,template,[SEOJEV-ENG-005] High-impact fix: update tpl_brand_electric-vehicles_2seg layout to resolve missi...,"Observed 5 URLs in template 'tpl_brand_electric-vehicles_2seg' with issue 'cluster_missing_h1': Observed on 135 URLs across 10 templates. Primary concentration in 'tpl_brand_electric-vehicles_2seg' (88 pages affected, 65.2% of total occurrences)..

Diagnosis: Template-level omission or formatting defect in component rendering tpl_brand_electric-vehicles_2seg.","{""opportunity_id"": ""OPP-TPL-SEO-006"", ""affected_urls_count"": 5, ""sample_urls"": [""https://www.drivio.in/bikes/honda"", ""https://www.drivio.in/bikes/hero"", ""https://www.drivio.in/bikes/royal-enfield"", ""https://www.drivio.in/bikes/bajaj"", ""https://www.drivio.in/bikes/yamaha""], ""confidence_tier"": ""High"", ""effort"": ""M""}","Action Required: High-impact fix: update tpl_brand_electric-vehicles_2seg layout to resolve missing h1 across 135 pages.

Target Location: templates/tpl_brand_electric-vehicles_2seg.html
Scope: Template (5 URLs affected)
Observed Hypothesis: Updating the template component for tpl_brand_electric-vehicles_2seg systematically remedies all 5 affected URLs in a single engineering change.","- [ ] Implementation updated in `templates/tpl_brand_electric-vehicles_2seg.html`.
- [ ] Verification spec evaluates to true: `selector_count(""h1"") == 1`.
- [ ] Validated on sample URLs: https://www.drivio.in/bikes/honda, https://www.drivio.in/bikes/hero, https://www.drivio.in/bikes/royal-enfield.","selector_count(""h1"") == 1","[""templates/tpl_brand_electric-vehicles_2seg.html""]"
WO-SEOJEV-ENG-006,d2cf5871f41b12a7,SEOJEV-ENG-006,crawl_20260923_234236,engineering,P2,template,[SEOJEV-ENG-006] High-impact fix: update tpl_article_featured-stories_2seg layout to resolve http...,"Observed 5 URLs in template 'tpl_article_featured-stories_2seg' with issue 'cluster_http_404_error': Observed on 8 URLs across 5 templates. Primary concentration in 'tpl_article_featured-stories_2seg' (2 pages affected, 25.0% of total occurrences)..

Diagnosis: Template-level omission or formatting defect in component rendering tpl_article_featured-stories_2seg.","{""opportunity_id"": ""OPP-TPL-SEO-007"", ""affected_urls_count"": 5, ""sample_urls"": [""https://www.drivio.in/featured-stories/Hero Glamour"", ""https://www.drivio.in/featured-stories/Hero Splendor Plus"", ""https://www.drivio.in/featured-stories/drivio.in/jawa/perak"", ""https://www.drivio.in/featured-stories/drivio.in/yamaha/r15-v4"", ""https://www.drivio.in/news/drivio.in/bajaj/dominar-250""], ""confidence_tier"": ""High"", ""effort"": ""M""}","Action Required: High-impact fix: update tpl_article_featured-stories_2seg layout to resolve http 404 error across 8 pages.

Target Location: templates/tpl_article_featured-stories_2seg.html
Scope: Template (5 URLs affected)
Observed Hypothesis: Updating the template component for tpl_article_featured-stories_2seg systematically remedies all 5 affected URLs in a single engineering change.","- [ ] Implementation updated in `templates/tpl_article_featured-stories_2seg.html`.
- [ ] Verification spec evaluates to true: `status_code == 200`.
- [ ] Validated on sample URLs: https://www.drivio.in/featured-stories/Hero Glamour, https://www.drivio.in/featured-stories/Hero Splendor Plus, https://www.drivio.in/featured-stories/drivio.in/jawa/perak.",status_code == 200,"[""templates/tpl_article_featured-stories_2seg.html""]"
WO-SEOJEV-ENG-007,2ba02b5423304c87,SEOJEV-ENG-007,crawl_20260923_234236,engineering,P2,template,[SEOJEV-ENG-007] Important architectural improvement: revise Individual page content / route hand...,"Observed 5 URLs in template 'tpl_listing_hero_2seg' with issue 'cluster_empty_h1': Observed on 31 URLs across 17 templates. Primary concentration in 'tpl_listing_hero_2seg' (6 pages affected, 19.4% of total occurrences)..

Diagnosis: Template-level omission or formatting defect in component rendering tpl_listing_hero_2seg.","{""opportunity_id"": ""OPP-TPL-SEO-009"", ""affected_urls_count"": 5, ""sample_urls"": [""https://www.drivio.in/22motors/jawatest1"", ""https://www.drivio.in/ampere/magnus-ex"", ""https://www.drivio.in/aprilia/sxr-160"", ""https://www.drivio.in/aprilia/aprilia-rs-457"", ""https://www.drivio.in/aprilia/sr-160""], ""confidence_tier"": ""High"", ""effort"": ""M""}","Action Required: Important architectural improvement: revise Individual page content / route handlers to supply unique structured content.

Target Location: templates/tpl_listing_hero_2seg.html
Scope: Template (5 URLs affected)
Observed Hypothesis: Updating the template component for tpl_listing_hero_2seg systematically remedies all 5 affected URLs in a single engineering change.","- [ ] Implementation updated in `templates/tpl_listing_hero_2seg.html`.
- [ ] Verification spec evaluates to true: `selector_count(""h1"") == 1`.
- [ ] Validated on sample URLs: https://www.drivio.in/22motors/jawatest1, https://www.drivio.in/ampere/magnus-ex, https://www.drivio.in/aprilia/sxr-160.","selector_count(""h1"") == 1","[""templates/tpl_listing_hero_2seg.html""]"
WO-SEOJEV-ENG-008,59dfc525ac95d52d,SEOJEV-ENG-008,crawl_20260923_234236,engineering,P2,template,[SEOJEV-ENG-008] Routine hygiene cleanup: review exact duplicate content on affected pages.,"Observed 5 URLs in template 'tpl_brand_featured-stories_2seg' with issue 'cluster_exact_duplicate_content': Observed on 17,496 URLs across 43 templates. Primary concentration in 'tpl_brand_featured-stories_2seg' (2,928 pages affected, 16.7% of total occurrences)..

Diagnosis: Template-level omission or formatting defect in component rendering tpl_brand_featured-stories_2seg.","{""opportunity_id"": ""OPP-TPL-SEO-013"", ""affected_urls_count"": 5, ""sample_urls"": [""https://www.drivio.in/featured-stories/10-best-two-wheeler-apps-for-indians"", ""https://drivio.in/featured-stories/10-best-two-wheeler-apps-for-indians"", ""https://www.drivio.in/featured-stories/10-reasons-why-a-two-wheeler-training-course-will-help-you"", ""https://drivio.in/featured-stories/10-reasons-why-a-two-wheeler-training-course-will-help-you"", ""https://www.drivio.in/featured-stories/2023-hero-maestro-edge-know-what-hero-motocorps-best-selling-scooter-has-to-offer""], ""confidence_tier"": ""High"", ""effort"": ""M""}","Action Required: Routine hygiene cleanup: review exact duplicate content on affected pages.

Target Location: templates/tpl_brand_featured-stories_2seg.html
Scope: Template (5 URLs affected)
Observed Hypothesis: Updating the template component for tpl_brand_featured-stories_2seg systematically remedies all 5 affected URLs in a single engineering change.","- [ ] Implementation updated in `templates/tpl_brand_featured-stories_2seg.html`.
- [ ] Verification spec evaluates to true: `status_code == 200`.
- [ ] Validated on sample URLs: https://www.drivio.in/featured-stories/10-best-two-wheeler-apps-for-indians, https://drivio.in/featured-stories/10-best-two-wheeler-apps-for-indians, https://www.drivio.in/featured-stories/10-reasons-why-a-two-wheeler-training-course-will-help-you.",status_code == 200,"[""templates/tpl_brand_featured-stories_2seg.html""]"
WO-SEOJEV-ENG-009,32068d029c50f511,SEOJEV-ENG-009,crawl_20260923_234236,engineering,P2,template,[SEOJEV-ENG-009] Routine hygiene cleanup: review template orphan page on affected pages.,"Observed 5 URLs in template 'tpl_article_featured-stories_2seg' with issue 'cluster_template_orphan_page': Observed on 1,469 URLs across 218 templates. Primary concentration in 'tpl_article_featured-stories_2seg' (8 pages affected, 0.5% of total occurrences)..

Diagnosis: Template-level omission or formatting defect in component rendering tpl_article_featured-stories_2seg.","{""opportunity_id"": ""OPP-TPL-SEO-019"", ""affected_urls_count"": 5, ""sample_urls"": [""https://www.drivio.in/featured-stories/10-best-two-wheeler-apps-for-indians"", ""https://www.drivio.in/news/2023-hero-xtreme-160r-incoming"", ""https://www.drivio.in/featured-stories/10-best-selling-bikes-in-2023"", ""https://www.drivio.in/news/5-upcoming-bikes-in-may-2023-in-india"", ""https://www.drivio.in/one-electric-motorcycles/kridn""], ""confidence_tier"": ""High"", ""effort"": ""M""}","Action Required: Routine hygiene cleanup: review template orphan page on affected pages.

Target Location: templates/tpl_article_featured-stories_2seg.html
Scope: Template (5 URLs affected)
Observed Hypothesis: Updating the template component for tpl_article_featured-stories_2seg systematically remedies all 5 affected URLs in a single engineering change.","- [ ] Implementation updated in `templates/tpl_article_featured-stories_2seg.html`.
- [ ] Verification spec evaluates to true: `status_code == 200`.
- [ ] Validated on sample URLs: https://www.drivio.in/featured-stories/10-best-two-wheeler-apps-for-indians, https://www.drivio.in/news/2023-hero-xtreme-160r-incoming, https://www.drivio.in/featured-stories/10-best-selling-bikes-in-2023.",status_code == 200,"[""templates/tpl_article_featured-stories_2seg.html""]"
WO-SEOJEV-ENG-010,adf964cf34ec10a4,SEOJEV-ENG-010,crawl_20260923_234236,engineering,P2,template,[SEOJEV-ENG-010] Routine hygiene cleanup: review template template orphan page on affected pages.,"Observed 5 URLs in template 'tpl_city_indian_2seg' with issue 'cluster_template_template_orphan_page': Observed on 689 URLs across 193 templates. Primary concentration in 'tpl_city_indian_2seg' (5 pages affected, 0.7% of total occurrences)..

Diagnosis: Template-level omission or formatting defect in component rendering tpl_city_indian_2seg.","{""opportunity_id"": ""OPP-TPL-SEO-028"", ""affected_urls_count"": 5, ""sample_urls"": [""https://www.drivio.in/one-electric-motorcycles/kridn"", ""https://www.drivio.in/reviews/10-most-popular-sub-200cc-naked-bikes-in-india"", ""https://www.drivio.in/adventure"", ""https://www.drivio.in/aftek-motors-scooters"", ""https://www.drivio.in/avan-motors-scooters""], ""confidence_tier"": ""High"", ""effort"": ""M""}","Action Required: Routine hygiene cleanup: review template template orphan page on affected pages.

Target Location: templates/tpl_city_indian_2seg.html
Scope: Template (5 URLs affected)
Observed Hypothesis: Updating the template component for tpl_city_indian_2seg systematically remedies all 5 affected URLs in a single engineering change.","- [ ] Implementation updated in `templates/tpl_city_indian_2seg.html`.
- [ ] Verification spec evaluates to true: `status_code == 200`.
- [ ] Validated on sample URLs: https://www.drivio.in/one-electric-motorcycles/kridn, https://www.drivio.in/reviews/10-most-popular-sub-200cc-naked-bikes-in-india, https://www.drivio.in/adventure.",status_code == 200,"[""templates/tpl_city_indian_2seg.html""]"
