crawl_id,template_id,page_count,sample_urls,dominant_page_type,characteristics_json
crawl_20260923_234236,tpl_article_featured-stories_2seg,318,"[""https://www.drivio.in/featured-stories/10-best-two-wheeler-apps-for-indians"", ""https://www.drivio.in/featured-stories/10-reasons-why-a-two-wheeler-training-course-will-help-you"", ""https://www.drivio.in/featured-stories/2023-hero-maestro-edge-know-what-hero-motocorps-best-selling-scooter-has-to-offer"", ""https://www.drivio.in/featured-stories/2023-honda-dio-is-it-still-relevant-as-a-modern-moto-scooter"", ""https://www.drivio.in/featured-stories/2023-royal-enfield-bullet-350-whats-new""]",article,"{""unique_title_percentage"": 49.7, ""unique_description_percentage"": 49.7, ""unique_h1_percentage"": 49.7, ""average_word_count"": 1233.3, ""canonical_consistency"": 50.3, ""internal_link_density"": 80.0, ""indexability"": 99.4, ""status_distribution"": {""200"": 316, ""404"": 2}}"
crawl_20260923_234236,tpl_article_featured-stories_4seg,2,"[""https://www.drivio.in/featured-stories/drivio.in/jawa/perak"", ""https://www.drivio.in/featured-stories/drivio.in/yamaha/r15-v4""]",article,"{""unique_title_percentage"": 0.0, ""unique_description_percentage"": 0.0, ""unique_h1_percentage"": 0.0, ""average_word_count"": 0.0, ""canonical_consistency"": 100.0, ""internal_link_density"": 0.0, ""indexability"": 0.0, ""status_distribution"": {""404"": 2}}"
crawl_20260923_234236,tpl_article_news_2seg,494,"[""https://www.drivio.in/news/2023-hero-xtreme-160r-incoming"", ""https://www.drivio.in/news/2023-bajaj-pulsar-ns200-launched-at-rs-1-47-347"", ""https://www.drivio.in/news/2023-bajaj-pulsar-ns200-teaser-will-receive-inverted-fork-and-dual-channel-abs-equipment"", ""https://www.drivio.in/news/2023-honda-livo-launched-priced-between-rs-78-500-rs-82-500"", ""https://www.drivio.in/news/2023-ktm-390-adventure-launched-becomes-more-off-road-oriented""]",article,"{""unique_title_percentage"": 64.4, ""unique_description_percentage"": 64.4, ""unique_h1_percentage"": 64.4, ""average_word_count"": 1010.9, ""canonical_consistency"": 64.4, ""internal_link_density"": 79.7, ""indexability"": 100.0, ""status_distribution"": {""200"": 494}}"
crawl_20260923_234236,tpl_article_news_4seg,1,"[""https://www.drivio.in/news/drivio.in/bajaj/dominar-250""]",article,"{""unique_title_percentage"": 0.0, ""unique_description_percentage"": 0.0, ""unique_h1_percentage"": 0.0, ""average_word_count"": 0.0, ""canonical_consistency"": 100.0, ""internal_link_density"": 0.0, ""indexability"": 0.0, ""status_distribution"": {""404"": 1}}"
crawl_20260923_234236,tpl_brand_bikes_2seg,42,"[""https://www.drivio.in/bikes/honda"", ""https://www.drivio.in/bikes/hero"", ""https://www.drivio.in/bikes/royal-enfield"", ""https://www.drivio.in/bikes/bajaj"", ""https://www.drivio.in/bikes/cruiser""]",brand,"{""unique_title_percentage"": 14.3, ""unique_description_percentage"": 14.3, ""unique_h1_percentage"": 16.7, ""average_word_count"": 1716.6, ""canonical_consistency"": 11.9, ""internal_link_density"": 113.9, ""indexability"": 100.0, ""status_distribution"": {""200"": 42}}"
crawl_20260923_234236,tpl_brand_electric-vehicles_2seg,89,"[""https://www.drivio.in/electric-vehicles/hero"", ""https://www.drivio.in/electric-vehicles/ola-electric"", ""https://www.drivio.in/electric-vehicles/bajaj"", ""https://www.drivio.in/electric-vehicles/ather-energy"", ""https://www.drivio.in/electric-vehicles/hero-electric""]",brand,"{""unique_title_percentage"": 1.1, ""unique_description_percentage"": 1.1, ""unique_h1_percentage"": 1.1, ""average_word_count"": 2000.1, ""canonical_consistency"": 0.0, ""internal_link_density"": 173.2, ""indexability"": 100.0, ""status_distribution"": {""200"": 89}}"
crawl_20260923_234236,tpl_brand_featured-stories_2seg,366,"[""https://www.drivio.in/featured-stories/10-best-selling-bikes-in-2023"", ""https://www.drivio.in/featured-stories/10-of-the-most-promising-electric-two-wheeler-makers-of-2023"", ""https://www.drivio.in/featured-stories/10-best-touring-bikes-in-india"", ""https://www.drivio.in/featured-stories/2023-honda-hornet-20-what-makes-it-better-than-the-usual-150-160cc-commuters"", ""https://www.drivio.in/featured-stories/2024-jawa-perak-what-makes-it-different-from-the-earlier-model""]",brand,"{""unique_title_percentage"": 49.7, ""unique_description_percentage"": 50.0, ""unique_h1_percentage"": 50.0, ""average_word_count"": 1339.3, ""canonical_consistency"": 50.0, ""internal_link_density"": 84.6, ""indexability"": 100.0, ""status_distribution"": {""200"": 366}}"
crawl_20260923_234236,tpl_brand_husqvarna-motorcycles_2seg,3,"[""https://www.drivio.in/husqvarna-motorcycles/husqvarna-svartpilen-250"", ""https://www.drivio.in/husqvarna-motorcycles/husqvarna-vitpilen-250"", ""https://www.drivio.in/husqvarna-motorcycles/svartpilen-401""]",brand,"{""unique_title_percentage"": 100.0, ""unique_description_percentage"": 100.0, ""unique_h1_percentage"": 100.0, ""average_word_count"": 1108.7, ""canonical_consistency"": 100.0, ""internal_link_density"": 92.3, ""indexability"": 100.0, ""status_distribution"": {""200"": 3}}"
crawl_20260923_234236,tpl_brand_news_2seg,88,"[""https://www.drivio.in/news/5-upcoming-bikes-in-may-2023-in-india"", ""https://www.drivio.in/news/ampere-electric-announces-go-electric-fest-scheme-on-magnus-ex-and-primus-e-scooters"", ""https://www.drivio.in/news/aprilia-tuono-457-launched-at-395-lakh-a-new-era-for-sub-500cc-naked-bikes"", ""https://www.drivio.in/news/ather-exchange-program-makes-a-comeback-in-india"", ""https://www.drivio.in/news/ather-energy-and-ola-electric-increase-prices-of-their-electric-scooters-here-are-the-new-prices""]",brand,"{""unique_title_percentage"": 67.0, ""unique_description_percentage"": 67.0, ""unique_h1_percentage"": 67.0, ""average_word_count"": 984.2, ""canonical_consistency"": 67.0, ""internal_link_density"": 81.8, ""indexability"": 100.0, ""status_distribution"": {""200"": 88}}"
crawl_20260923_234236,tpl_brand_one-electric-motorcycles_2seg,1,"[""https://www.drivio.in/one-electric-motorcycles/kridn""]",brand,"{""unique_title_percentage"": 100.0, ""unique_description_percentage"": 100.0, ""unique_h1_percentage"": 100.0, ""average_word_count"": 1162.0, ""canonical_consistency"": 100.0, ""internal_link_density"": 101.0, ""indexability"": 100.0, ""status_distribution"": {""200"": 1}}"
