id,crawl_id,issue_key,prompt_summary,response_raw,latency_ms,decision_category,decision_severity,decision_action,confidence,created_at
257,crawl_20260923_234236,duplicates:exact_duplicate_content:tpl_brand_featured-stories_2seg,Issue: exact_duplicate_content on tpl_brand_featured-stories_2seg,"{""model"": ""laya-rl-agent"", ""answers"": {""category"": {""type"": ""choice"", ""confidence"": 0.8765, ""action"": {""act_probability"": 1.0}, ""choice"": ""content"", ""probabilities"": {""metadata"": 0.0083, ""technical"": 0.0155, ""content"": 0.9561, ""internal_linking"": 0.0049, ""structured_data"": 0.0029, ""images"": 0.0023, ""indexability"": 0.0039, ""performance"": 0.0061}}, ""severity"": {""type"": ""choice"", ""confidence"": 0.1494, ""action"": {""act_probability"": 1.0}, ""choice"": ""medium"", ""probabilities"": {""critical"": 0.0631, ""high"": 0.362, ""medium"": 0.4352, ""low"": 0.1397}}, ""action"": {""type"": ""choice"", ""confidence"": 0.4463, ""action"": {""act_probability"": 1.0}, ""choice"": ""fix_content"", ""probabilities"": {""fix_template"": 0.2736, ""fix_metadata"": 0.0058, ""fix_content"": 0.5037, ""fix_internal_links"": 0.0071, ""fix_schema"": 0.0053, ""fix_images"": 0.0031, ""fix_performance"": 0.0036, ""investigate"": 0.1979}}}, ""usage"": {""input_tokens"": 525, ""output_tokens"": 0}}",170.74,content,medium,fix_content,0.876,2026-09-23 18:24:44
258,crawl_20260923_234236,duplicates:exact_duplicate_content:tpl_article_news_2seg,Issue: exact_duplicate_content on tpl_article_news_2seg,"{""model"": ""laya-rl-agent"", ""answers"": {""category"": {""type"": ""choice"", ""confidence"": 0.8933, ""action"": {""act_probability"": 1.0}, ""choice"": ""content"", ""probabilities"": {""metadata"": 0.0052, ""technical"": 0.0178, ""content"": 0.9621, ""internal_linking"": 0.0038, ""structured_data"": 0.0022, ""images"": 0.0018, ""indexability"": 0.0027, ""performance"": 0.0044}}, ""severity"": {""type"": ""choice"", ""confidence"": 0.1399, ""action"": {""act_probability"": 1.0}, ""choice"": ""medium"", ""probabilities"": {""critical"": 0.0754, ""high"": 0.3924, ""medium"": 0.4032, ""low"": 0.1289}}, ""action"": {""type"": ""choice"", ""confidence"": 0.3839, ""action"": {""act_probability"": 1.0}, ""choice"": ""fix_content"", ""probabilities"": {""fix_template"": 0.2563, ""fix_metadata"": 0.0103, ""fix_content"": 0.378, ""fix_internal_links"": 0.0123, ""fix_schema"": 0.0092, ""fix_images"": 0.005, ""fix_performance"": 0.0055, ""investigate"": 0.3234}}}, ""usage"": {""input_tokens"": 513, ""output_tokens"": 0}}",68.06,content,medium,fix_content,0.893,2026-09-23 18:24:44
259,crawl_20260923_234236,duplicates:exact_duplicate_content:tpl_article_featured-stories_2seg,Issue: exact_duplicate_content on tpl_article_featured-stories_2seg,"{""model"": ""laya-rl-agent"", ""answers"": {""category"": {""type"": ""choice"", ""confidence"": 0.8836, ""action"": {""act_probability"": 1.0}, ""choice"": ""content"", ""probabilities"": {""metadata"": 0.0062, ""technical"": 0.017, ""content"": 0.9587, ""internal_linking"": 0.0046, ""structured_data"": 0.0026, ""images"": 0.0023, ""indexability"": 0.0033, ""performance"": 0.0053}}, ""severity"": {""type"": ""choice"", ""confidence"": 0.1487, ""action"": {""act_probability"": 1.0}, ""choice"": ""medium"", ""probabilities"": {""critical"": 0.0745, ""high"": 0.3585, ""medium"": 0.4434, ""low"": 0.1235}}, ""action"": {""type"": ""choice"", ""confidence"": 0.4484, ""action"": {""act_probability"": 1.0}, ""choice"": ""fix_template"", ""probabilities"": {""fix_template"": 0.5277, ""fix_metadata"": 0.0067, ""fix_content"": 0.2471, ""fix_internal_links"": 0.0083, ""fix_schema"": 0.0061, ""fix_images"": 0.0035, ""fix_performance"": 0.0034, ""investigate"": 0.1971}}}, ""usage"": {""input_tokens"": 525, ""output_tokens"": 0}}",52.53,content,medium,fix_template,0.884,2026-09-23 18:24:44
260,crawl_20260923_234236,duplicates:exact_duplicate_content:tpl_finance_loans_2seg,Issue: exact_duplicate_content on tpl_finance_loans_2seg,"{""model"": ""laya-rl-agent"", ""answers"": {""category"": {""type"": ""choice"", ""confidence"": 0.8782, ""action"": {""act_probability"": 1.0}, ""choice"": ""content"", ""probabilities"": {""metadata"": 0.0076, ""technical"": 0.0166, ""content"": 0.9566, ""internal_linking"": 0.0049, ""structured_data"": 0.0028, ""images"": 0.0021, ""indexability"": 0.0039, ""performance"": 0.0054}}, ""severity"": {""type"": ""choice"", ""confidence"": 0.1519, ""action"": {""act_probability"": 1.0}, ""choice"": ""high"", ""probabilities"": {""critical"": 0.0659, ""high"": 0.4168, ""medium"": 0.388, ""low"": 0.1292}}, ""action"": {""type"": ""choice"", ""confidence"": 0.4447, ""action"": {""act_probability"": 1.0}, ""choice"": ""fix_content"", ""probabilities"": {""fix_template"": 0.2179, ""fix_metadata"": 0.0066, ""fix_content"": 0.5269, ""fix_internal_links"": 0.0083, ""fix_schema"": 0.0058, ""fix_images"": 0.0034, ""fix_performance"": 0.005, ""investigate"": 0.2261}}}, ""usage"": {""input_tokens"": 522, ""output_tokens"": 0}}",53.17,content,high,fix_content,0.878,2026-09-23 18:24:44
261,crawl_20260923_234236,duplicates:exact_duplicate_content:tpl_city_news_2seg,Issue: exact_duplicate_content on tpl_city_news_2seg,"{""model"": ""laya-rl-agent"", ""answers"": {""category"": {""type"": ""choice"", ""confidence"": 0.839, ""action"": {""act_probability"": 1.0}, ""choice"": ""content"", ""probabilities"": {""metadata"": 0.0117, ""technical"": 0.0231, ""content"": 0.9389, ""internal_linking"": 0.0069, ""structured_data"": 0.004, ""images"": 0.0032, ""indexability"": 0.0047, ""performance"": 0.0073}}, ""severity"": {""type"": ""choice"", ""confidence"": 0.1137, ""action"": {""act_probability"": 1.0}, ""choice"": ""medium"", ""probabilities"": {""critical"": 0.0822, ""high"": 0.3284, ""medium"": 0.4279, ""low"": 0.1615}}, ""action"": {""type"": ""choice"", ""confidence"": 0.3893, ""action"": {""act_probability"": 1.0}, ""choice"": ""fix_content"", ""probabilities"": {""fix_template"": 0.2817, ""fix_metadata"": 0.0095, ""fix_content"": 0.3868, ""fix_internal_links"": 0.0108, ""fix_schema"": 0.0085, ""fix_images"": 0.0046, ""fix_performance"": 0.0054, ""investigate"": 0.2928}}}, ""usage"": {""input_tokens"": 513, ""output_tokens"": 0}}",52.34,content,medium,fix_content,0.839,2026-09-23 18:24:44
262,crawl_20260923_234236,internal_linking:orphan_page:tpl_article_news_2seg,Issue: orphan_page on tpl_article_news_2seg,"{""model"": ""laya-rl-agent"", ""answers"": {""category"": {""type"": ""choice"", ""confidence"": 0.9433, ""action"": {""act_probability"": 1.0}, ""choice"": ""internal_linking"", ""probabilities"": {""metadata"": 0.0013, ""technical"": 0.0096, ""content"": 0.002, ""internal_linking"": 0.9819, ""structured_data"": 0.001, ""images"": 0.0009, ""indexability"": 0.0017, ""performance"": 0.0017}}, ""severity"": {""type"": ""choice"", ""confidence"": 0.0937, ""action"": {""act_probability"": 1.0}, ""choice"": ""high"", ""probabilities"": {""critical"": 0.2176, ""high"": 0.4563, ""medium"": 0.2261, ""low"": 0.1}}, ""action"": {""type"": ""choice"", ""confidence"": 0.6281, ""action"": {""act_probability"": 1.0}, ""choice"": ""investigate"", ""probabilities"": {""fix_template"": 0.1414, ""fix_metadata"": 0.0116, ""fix_content"": 0.0106, ""fix_internal_links"": 0.0374, ""fix_schema"": 0.0061, ""fix_images"": 0.0043, ""fix_performance"": 0.0054, ""investigate"": 0.7833}}}, ""usage"": {""input_tokens"": 501, ""output_tokens"": 0}}",54.95,internal_linking,high,investigate,0.943,2026-09-23 18:24:44
263,crawl_20260923_234236,duplicates:exact_duplicate_content:tpl_city_featured-stories_2seg,Issue: exact_duplicate_content on tpl_city_featured-stories_2seg,"{""model"": ""laya-rl-agent"", ""answers"": {""category"": {""type"": ""choice"", ""confidence"": 0.851, ""action"": {""act_probability"": 1.0}, ""choice"": ""content"", ""probabilities"": {""metadata"": 0.0114, ""technical"": 0.0177, ""content"": 0.9452, ""internal_linking"": 0.0068, ""structured_data"": 0.0038, ""images"": 0.003, ""indexability"": 0.0049, ""performance"": 0.0074}}, ""severity"": {""type"": ""choice"", ""confidence"": 0.1415, ""action"": {""act_probability"": 1.0}, ""choice"": ""high"", ""probabilities"": {""critical"": 0.0704, ""high"": 0.4027, ""medium"": 0.3923, ""low"": 0.1346}}, ""action"": {""type"": ""choice"", ""confidence"": 0.5023, ""action"": {""act_probability"": 1.0}, ""choice"": ""fix_template"", ""probabilities"": {""fix_template"": 0.597, ""fix_metadata"": 0.0052, ""fix_content"": 0.2573, ""fix_internal_links"": 0.0064, ""fix_schema"": 0.0048, ""fix_images"": 0.0027, ""fix_performance"": 0.0031, ""investigate"": 0.1234}}}, ""usage"": {""input_tokens"": 525, ""output_tokens"": 0}}",52.31,content,high,fix_template,0.851,2026-09-23 18:24:44
264,crawl_20260923_234236,internal_linking:orphan_page:tpl_city_news_2seg,Issue: orphan_page on tpl_city_news_2seg,"{""model"": ""laya-rl-agent"", ""answers"": {""category"": {""type"": ""choice"", ""confidence"": 0.9615, ""action"": {""act_probability"": 1.0}, ""choice"": ""internal_linking"", ""probabilities"": {""metadata"": 0.0013, ""technical"": 0.0047, ""content"": 0.0014, ""internal_linking"": 0.9889, ""structured_data"": 0.0008, ""images"": 0.0006, ""indexability"": 0.0012, ""performance"": 0.0012}}, ""severity"": {""type"": ""choice"", ""confidence"": 0.094, ""action"": {""act_probability"": 1.0}, ""choice"": ""high"", ""probabilities"": {""critical"": 0.2303, ""high"": 0.4595, ""medium"": 0.2068, ""low"": 0.1034}}, ""action"": {""type"": ""choice"", ""confidence"": 0.5178, ""action"": {""act_probability"": 1.0}, ""choice"": ""investigate"", ""probabilities"": {""fix_template"": 0.2866, ""fix_metadata"": 0.0129, ""fix_content"": 0.0142, ""fix_internal_links"": 0.0441, ""fix_schema"": 0.0075, ""fix_images"": 0.0052, ""fix_performance"": 0.0063, ""investigate"": 0.6233}}}, ""usage"": {""input_tokens"": 501, ""output_tokens"": 0}}",49.9,internal_linking,high,investigate,0.962,2026-09-23 18:24:45
265,crawl_20260923_234236,internal_linking:orphan_page:tpl_finance_loans_2seg,Issue: orphan_page on tpl_finance_loans_2seg,"{""model"": ""laya-rl-agent"", ""answers"": {""category"": {""type"": ""choice"", ""confidence"": 0.9652, ""action"": {""act_probability"": 1.0}, ""choice"": ""internal_linking"", ""probabilities"": {""metadata"": 0.0012, ""technical"": 0.0046, ""content"": 0.001, ""internal_linking"": 0.99, ""structured_data"": 0.0007, ""images"": 0.0005, ""indexability"": 0.001, ""performance"": 0.001}}, ""severity"": {""type"": ""choice"", ""confidence"": 0.0795, ""action"": {""act_probability"": 1.0}, ""choice"": ""high"", ""probabilities"": {""critical"": 0.243, ""high"": 0.435, ""medium"": 0.2142, ""low"": 0.1078}}, ""action"": {""type"": ""choice"", ""confidence"": 0.5111, ""action"": {""act_probability"": 1.0}, ""choice"": ""investigate"", ""probabilities"": {""fix_template"": 0.1876, ""fix_metadata"": 0.0158, ""fix_content"": 0.0148, ""fix_internal_links"": 0.0802, ""fix_schema"": 0.0085, ""fix_images"": 0.0059, ""fix_performance"": 0.008, ""investigate"": 0.6792}}}, ""usage"": {""input_tokens"": 510, ""output_tokens"": 0}}",53.32,internal_linking,high,investigate,0.965,2026-09-23 18:24:45
266,crawl_20260923_234236,internal_linking:orphan_page:tpl_comparison_reviews_2seg,Issue: orphan_page on tpl_comparison_reviews_2seg,"{""model"": ""laya-rl-agent"", ""answers"": {""category"": {""type"": ""choice"", ""confidence"": 0.962, ""action"": {""act_probability"": 1.0}, ""choice"": ""internal_linking"", ""probabilities"": {""metadata"": 0.0009, ""technical"": 0.0062, ""content"": 0.001, ""internal_linking"": 0.9887, ""structured_data"": 0.0006, ""images"": 0.0005, ""indexability"": 0.0011, ""performance"": 0.0011}}, ""severity"": {""type"": ""choice"", ""confidence"": 0.0594, ""action"": {""act_probability"": 1.0}, ""choice"": ""high"", ""probabilities"": {""critical"": 0.2185, ""high"": 0.3982, ""medium"": 0.2644, ""low"": 0.1189}}, ""action"": {""type"": ""choice"", ""confidence"": 0.4951, ""action"": {""act_probability"": 1.0}, ""choice"": ""investigate"", ""probabilities"": {""fix_template"": 0.248, ""fix_metadata"": 0.0152, ""fix_content"": 0.014, ""fix_internal_links"": 0.0647, ""fix_schema"": 0.0096, ""fix_images"": 0.0057, ""fix_performance"": 0.0086, ""investigate"": 0.6343}}}, ""usage"": {""input_tokens"": 504, ""output_tokens"": 0}}",53.77,internal_linking,high,investigate,0.962,2026-09-23 18:24:45
267,crawl_20260923_234236,internal_linking:orphan_page:tpl_article_featured-stories_2seg,Issue: orphan_page on tpl_article_featured-stories_2seg,"{""model"": ""laya-rl-agent"", ""answers"": {""category"": {""type"": ""choice"", ""confidence"": 0.9666, ""action"": {""act_probability"": 1.0}, ""choice"": ""internal_linking"", ""probabilities"": {""metadata"": 0.0008, ""technical"": 0.0048, ""content"": 0.001, ""internal_linking"": 0.9904, ""structured_data"": 0.0006, ""images"": 0.0006, ""indexability"": 0.001, ""performance"": 0.0008}}, ""severity"": {""type"": ""choice"", ""confidence"": 0.1175, ""action"": {""act_probability"": 1.0}, ""choice"": ""high"", ""probabilities"": {""critical"": 0.1615, ""high"": 0.4874, ""medium"": 0.2496, ""low"": 0.1015}}, ""action"": {""type"": ""choice"", ""confidence"": 0.5119, ""action"": {""act_probability"": 1.0}, ""choice"": ""investigate"", ""probabilities"": {""fix_template"": 0.28, ""fix_metadata"": 0.0138, ""fix_content"": 0.0132, ""fix_internal_links"": 0.0488, ""fix_schema"": 0.0084, ""fix_images"": 0.0053, ""fix_performance"": 0.0064, ""investigate"": 0.624}}}, ""usage"": {""input_tokens"": 513, ""output_tokens"": 0}}",51.87,internal_linking,high,investigate,0.967,2026-09-23 18:24:45
268,crawl_20260923_234236,internal_linking:orphan_page:tpl_brand_featured-stories_2seg,Issue: orphan_page on tpl_brand_featured-stories_2seg,"{""model"": ""laya-rl-agent"", ""answers"": {""category"": {""type"": ""choice"", ""confidence"": 0.9617, ""action"": {""act_probability"": 1.0}, ""choice"": ""internal_linking"", ""probabilities"": {""metadata"": 0.0016, ""technical"": 0.0042, ""content"": 0.0015, ""internal_linking"": 0.989, ""structured_data"": 0.0007, ""images"": 0.0007, ""indexability"": 0.0012, ""performance"": 0.0011}}, ""severity"": {""type"": ""choice"", ""confidence"": 0.099, ""action"": {""act_probability"": 1.0}, ""choice"": ""high"", ""probabilities"": {""critical"": 0.1776, ""high"": 0.4643, ""medium"": 0.2513, ""low"": 0.1067}}, ""action"": {""type"": ""choice"", ""confidence"": 0.4983, ""action"": {""act_probability"": 1.0}, ""choice"": ""investigate"", ""probabilities"": {""fix_template"": 0.2427, ""fix_metadata"": 0.0165, ""fix_content"": 0.0176, ""fix_internal_links"": 0.0605, ""fix_schema"": 0.0083, ""fix_images"": 0.0057, ""fix_performance"": 0.0075, ""investigate"": 0.6411}}}, ""usage"": {""input_tokens"": 513, ""output_tokens"": 0}}",52.1,internal_linking,high,investigate,0.962,2026-09-23 18:24:45
269,crawl_20260923_234236,headings:missing_h1:tpl_brand_electric-vehicles_2seg,Issue: missing_h1 on tpl_brand_electric-vehicles_2seg,"{""model"": ""laya-rl-agent"", ""answers"": {""category"": {""type"": ""choice"", ""confidence"": 0.1655, ""action"": {""act_probability"": 1.0}, ""choice"": ""metadata"", ""probabilities"": {""metadata"": 0.432, ""technical"": 0.1576, ""content"": 0.0924, ""internal_linking"": 0.1005, ""structured_data"": 0.056, ""images"": 0.0431, ""indexability"": 0.0516, ""performance"": 0.0667}}, ""severity"": {""type"": ""choice"", ""confidence"": 0.2295, ""action"": {""act_probability"": 1.0}, ""choice"": ""medium"", ""probabilities"": {""critical"": 0.0565, ""high"": 0.2581, ""medium"": 0.5782, ""low"": 0.1073}}, ""action"": {""type"": ""choice"", ""confidence"": 0.7725, ""action"": {""act_probability"": 1.0}, ""choice"": ""fix_template"", ""probabilities"": {""fix_template"": 0.9002, ""fix_metadata"": 0.0065, ""fix_content"": 0.0217, ""fix_internal_links"": 0.0091, ""fix_schema"": 0.0055, ""fix_images"": 0.0044, ""fix_performance"": 0.0035, ""investigate"": 0.0492}}}, ""usage"": {""input_tokens"": 495, ""output_tokens"": 0}}",75.65,metadata,medium,fix_template,0.166,2026-09-23 18:24:45
270,crawl_20260923_234236,duplicates:exact_duplicate_content:tpl_comparison_featured-stories_2seg,Issue: exact_duplicate_content on tpl_comparison_featured-stories_2seg,"{""model"": ""laya-rl-agent"", ""answers"": {""category"": {""type"": ""choice"", ""confidence"": 0.8551, ""action"": {""act_probability"": 1.0}, ""choice"": ""content"", ""probabilities"": {""metadata"": 0.012, ""technical"": 0.0203, ""content"": 0.946, ""internal_linking"": 0.0055, ""structured_data"": 0.003, ""images"": 0.0026, ""indexability"": 0.0039, ""performance"": 0.0067}}, ""severity"": {""type"": ""choice"", ""confidence"": 0.1329, ""action"": {""act_probability"": 1.0}, ""choice"": ""medium"", ""probabilities"": {""critical"": 0.0681, ""high"": 0.339, ""medium"": 0.4361, ""low"": 0.1567}}, ""action"": {""type"": ""choice"", ""confidence"": 0.488, ""action"": {""act_probability"": 1.0}, ""choice"": ""fix_content"", ""probabilities"": {""fix_template"": 0.2501, ""fix_metadata"": 0.0061, ""fix_content"": 0.5889, ""fix_internal_links"": 0.008, ""fix_schema"": 0.0054, ""fix_images"": 0.003, ""fix_performance"": 0.0037, ""investigate"": 0.1348}}}, ""usage"": {""input_tokens"": 525, ""output_tokens"": 0}}",52.42,content,medium,fix_content,0.855,2026-09-23 18:24:45
